StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.024,0.02,0.071,0.004,False,1.3560887923841593243142681120
0.024,0.02,0.072,0.004,False,1.3560887923841593243142681120
0.020,0.03,0.077,0.002,False,1.3281102036339667459413111148
0.025,0.02,0.071,0.004,False,1.3141113906100749437270329971
0.025,0.02,0.072,0.004,False,1.3141113906100749437270329971
0.025,0.03,0.072,0.004,False,1.2974688174257674886246706346
0.024,0.02,0.071,0.003,False,1.2846646727501991793397930480
0.024,0.02,0.072,0.003,False,1.2846646727501991793397930480
0.021,0.03,0.077,0.002,False,1.2706533597341319805560858879
0.021,0.03,0.076,0.002,False,1.2686575409532365869089221121
0.023,0.01,0.072,0.030,True,1.2455449900137583912337500184
0.019,0.01,0.073,0.028,True,1.2433318574690146731335171797
0.015,0.03,0.071,0.029,False,1.2430025648362686469476366066
0.021,0.04,0.077,0.002,False,1.2420208498908475262456740887
0.025,0.02,0.071,0.003,False,1.2405627555402642808278499097
0.025,0.02,0.072,0.003,False,1.2405627555402642808278499097
0.026,0.04,0.071,0.004,False,1.2385790143138385713764478301
0.014,0,0.076,0.024,True,1.2374641300221195968944210266
0.025,0,0.071,0.035,True,1.2355857071980293240748871778
0.024,0,0.071,0.004,False,1.2298178682478287718428421329
0.024,0,0.072,0.004,False,1.2298178682478287718428421329
0.025,0.03,0.072,0.003,False,1.2241926428050357788234552426
0.019,0.01,0.077,0.028,True,1.2213935488244543869868282016
0.019,0.01,0.078,0.028,True,1.2213935488244543869868282016
0.025,0.01,0.071,0.035,True,1.2213014630692648740424803385
0.020,0.01,0.073,0.028,True,1.2193891015847930947318960373
0.023,0.01,0.072,0.034,True,1.2129823697879581388562562587
0.020,0.01,0.072,0.028,True,1.2076508748393148010304487951
0.021,0.01,0.074,0.001,False,1.2054788025073407106164284104
0.021,0.01,0.075,0.001,False,1.2054788025073407106164284104
0.021,0.01,0.076,0.001,False,1.2054788025073407106164284104
0.021,0.01,0.072,0.028,True,1.2013964339982977075540457153
0.024,0.01,0.071,0.004,False,1.1987788447551689183686299383
0.024,0.01,0.072,0.004,False,1.1987788447551689183686299383
0.014,0,0.075,0.024,True,1.1956079700100904452671863680
0.003,0.08,0.080,0.009,True,1.1902536178202607427074605282
0.021,0.01,0.071,0.028,True,1.1896526329975923273214040327
0.024,0,0.071,0.034,True,1.1876612765618165982317776371
0.013,0,0.076,0.024,True,1.1876231557510072033248241506
0.022,0,0.072,0.028,True,1.1849042346159488268759675300
0.025,0,0.071,0.004,False,1.1848086663385037285344702227
0.014,0.01,0.075,0.024,True,1.1829720742727366165055773776
0.020,0.03,0.078,0.002,False,1.1826804559590015469892543512
0.020,0.03,0.079,0.002,False,1.1826804559590015469892543512
0.013,0.03,0.071,0.029,False,1.1810713618053792821716613164
0.024,0,0.071,0.003,False,1.1800502270628518556443240989
0.024,0,0.072,0.003,False,1.1800502270628518556443240989
0.016,0.01,0.080,0.001,False,1.1775576738079504251952086879
0.024,0.01,0.071,0.034,True,1.1736842031845657705281475036
0.003,0.07,0.080,0.009,True,1.1723757895550509219657338797
0.021,0.03,0.075,0.002,False,1.1721513231347743794534449302
0.014,0.03,0.071,0.029,False,1.1697125616593341386608284151
0.002,0.07,0.077,0.009,True,1.1691756033733014644563501402
0.002,0.07,0.078,0.009,True,1.1691756033733014644563501402
0.004,0.07,0.079,0.009,True,1.1691469222570969172496274804
0.016,0,0.073,0.025,True,1.1675050015946410124303473438
0.014,0.01,0.071,0.029,False,1.1663757522532639649775660654
0.004,0.08,0.079,0.009,True,1.1657215328055543217401742506
0.002,0.08,0.079,0.009,True,1.1650471821238350624510561283
0.002,0.08,0.080,0.009,True,1.1650471821238350624510561283
0.026,0.04,0.071,0.003,False,1.1647906479841781733016304599
0.015,0,0.073,0.025,True,1.1638429019503189570040620310
0.019,0.01,0.077,0.024,False,1.1631930675567083219373584651
0.019,0.01,0.071,0.028,True,1.1595817476600401686693941378
0.019,0.01,0.072,0.028,True,1.1595817476600401686693941378
0.019,0.01,0.077,0.002,False,1.1574639253900773869106617597
0.014,0,0.074,0.024,True,1.1573898945146856305606580068
0.002,0.08,0.077,0.009,True,1.1567212779340747168934094129
0.002,0.08,0.078,0.009,True,1.1567212779340747168934094129
0.015,0.01,0.075,0.025,True,1.1559798807144164258793617691
0.003,0.08,0.077,0.009,True,1.1556129555746333354988695862
0.003,0.08,0.078,0.009,True,1.1556129555746333354988695862
0.025,0.01,0.071,0.004,False,1.1537758864197882968635348876
0.025,0.01,0.072,0.004,False,1.1537758864197882968635348876
0.024,0.01,0.071,0.003,False,1.1537737181176947922937435487
0.024,0.01,0.072,0.003,False,1.1537737181176947922937435487
0.014,0.04,0.071,0.029,False,1.1529446504970525341087009121
0.013,0.03,0.072,0.030,False,1.1527234805248034731947673010
0.013,0.04,0.071,0.029,False,1.1522027897752681784580183944
0.016,0.01,0.073,0.025,True,1.1509069852191377813688155718
0.003,0.07,0.077,0.009,True,1.1499119364216762890717084459
0.003,0.07,0.078,0.009,True,1.1499119364216762890717084459
0.024,0.01,0.071,0.033,True,1.1487984151420506027008170676
0.024,0.01,0.072,0.033,True,1.1487984151420506027008170676
