StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.10,0.167,0.018,False,1.1397558921047760723110025666
0.026,0.10,0.168,0.018,False,1.1397558921047760723110025666
0.026,0.10,0.169,0.018,False,1.1397558921047760723110025666
0.038,0.09,0.164,0.024,False,1.1230683373926505037697130887
0.038,0.09,0.165,0.024,False,1.1230683373926505037697130887
0.016,0.17,0.168,0.032,False,1.1206370734529794900702377966
0.016,0.17,0.169,0.032,False,1.1206370734529794900702377966
0.016,0.17,0.170,0.032,False,1.1206370734529794900702377966
0.025,0.09,0.168,0.019,False,1.1205936377833290407823865790
0.025,0.09,0.169,0.019,False,1.1205936377833290407823865790
0.016,0.17,0.168,0.030,False,1.1181850325734135197089176637
0.016,0.17,0.169,0.030,False,1.1181850325734135197089176637
0.016,0.17,0.170,0.030,False,1.1181850325734135197089176637
0.016,0.17,0.168,0.031,False,1.1178370213222729930003124584
0.016,0.17,0.169,0.031,False,1.1178370213222729930003124584
0.016,0.17,0.170,0.031,False,1.1178370213222729930003124584
0.039,0.09,0.163,0.024,False,1.1114591123209931430906483541
0.039,0.09,0.164,0.024,False,1.1114591123209931430906483541
0.039,0.09,0.165,0.024,False,1.1114591123209931430906483541
0.026,0.09,0.168,0.019,False,1.1090739305526869734035241111
0.026,0.09,0.169,0.019,False,1.1090739305526869734035241111
0.026,0.09,0.168,0.018,False,1.1076010337860017062091727318
0.026,0.09,0.169,0.018,False,1.1076010337860017062091727318
0.017,0.17,0.168,0.032,False,1.1067151523538118020157339465
0.017,0.17,0.169,0.032,False,1.1067151523538118020157339465
0.017,0.17,0.170,0.032,False,1.1067151523538118020157339465
0.017,0.17,0.168,0.030,False,1.1037406933162963484864654970
0.017,0.17,0.169,0.030,False,1.1037406933162963484864654970
0.017,0.17,0.170,0.030,False,1.1037406933162963484864654970
0.017,0.17,0.168,0.031,False,1.1035179411008642514909184021
0.017,0.17,0.169,0.031,False,1.1035179411008642514909184021
0.017,0.17,0.170,0.031,False,1.1035179411008642514909184021
0.018,0.01,0.164,0.024,False,1.1018429337313441912819890259
0.023,0.01,0.164,0.024,False,1.0968004105827198973300834488
0.021,0.08,0.170,0.019,False,1.0946706230712616360815460190
0.025,0.09,0.168,0.021,False,1.0880140151255001953327156811
0.025,0.09,0.169,0.021,False,1.0880140151255001953327156811
0.018,0.17,0.168,0.032,False,1.0876727509886037067183062008
0.018,0.17,0.169,0.032,False,1.0876727509886037067183062008
0.018,0.17,0.170,0.032,False,1.0876727509886037067183062008
0.026,0.10,0.167,0.019,False,1.0874368241298660449821383813
0.026,0.10,0.168,0.019,False,1.0874368241298660449821383813
0.026,0.10,0.169,0.019,False,1.0874368241298660449821383813
0.023,0.02,0.164,0.024,False,1.0865138221825839278598819793
0.016,0.17,0.168,0.029,False,1.0861112841706808949636488855
0.016,0.17,0.169,0.029,False,1.0861112841706808949636488855
0.016,0.17,0.170,0.029,False,1.0861112841706808949636488855
0.019,0.01,0.164,0.024,False,1.0860506524317421136668181167
0.018,0.17,0.168,0.030,False,1.0846783425686486172172652723
0.018,0.17,0.169,0.030,False,1.0846783425686486172172652723
