StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.037,0.17,0.120,0.008,False,1.2493706182315996254779250834
0.037,0.17,0.120,0.007,False,1.2453513828320770101067857384
0.037,0.17,0.120,0.006,False,1.2418033947972087164375818561
0.037,0.18,0.120,0.008,False,1.2227765921890568802185709989
0.037,0.18,0.120,0.007,False,1.2185290227522940995929563573
0.037,0.18,0.120,0.006,False,1.2149785076980273747540844581
0.037,0.18,0.120,0.005,False,1.2120081117374413103188617030
0.037,0.18,0.120,0.004,False,1.2085062733293503375143748277
0.037,0.18,0.120,0.003,False,1.2058125223825688231948697109
0.038,0.18,0.120,0.008,False,1.2021382210745114837145360452
0.038,0.18,0.119,0.007,False,1.1990679474081410289152430796
0.038,0.18,0.120,0.007,False,1.1984422659911158569732177323
0.038,0.18,0.119,0.006,False,1.1955118246392841014953876936
0.038,0.18,0.120,0.006,False,1.1948861432222589295533623463
0.038,0.18,0.119,0.005,False,1.1917267470217625838385367623
0.038,0.18,0.120,0.005,False,1.1911010656047374118965114150
0.030,0.16,0.120,0.027,False,1.1898576405870001977199521851
0.038,0.18,0.119,0.004,False,1.1887616211023282737277675299
0.038,0.18,0.120,0.004,False,1.1881359396853031017857421826
0.038,0.18,0.119,0.003,False,1.1860628980830363610185849213
0.038,0.18,0.120,0.003,False,1.1854372166660111890765595740
0.019,0.01,0.119,0.022,False,1.1691706615554232869872970041
0.019,0.01,0.120,0.022,False,1.1691706615554232869872970041
0.002,0,0.112,0.019,True,1.1652269719302977720325492603
0.010,0.01,0.119,0.020,True,1.1644776396454087585295394138
0.010,0.01,0.120,0.020,True,1.1644776396454087585295394138
0.019,0.02,0.119,0.022,False,1.1625185623188292146471792852
0.019,0.02,0.120,0.022,False,1.1625185623188292146471792852
0.002,0.01,0.112,0.019,True,1.1605282794082850164213563855
0.001,0.10,0.118,0.007,True,1.1582816140864607926838126558
0.001,0.10,0.119,0.007,True,1.1582816140864607926838126558
0.002,0.02,0.112,0.019,True,1.1539058034752009650801930183
0,0.07,0.112,0.002,True,1.1538226348983737784102134684
0.002,0.08,0.111,0.019,True,1.1509313041059273927697147796
0.002,0.05,0.112,0.019,True,1.1464405151981134623199124566
0.009,0,0.120,0.009,False,1.1463042687208588454056529615
0.001,0.08,0.118,0.007,True,1.1442144818415440530073008534
0.001,0.08,0.119,0.007,True,1.1442144818415440530073008534
0.001,0.11,0.118,0.007,True,1.1434068136401040486495896920
0.001,0.11,0.119,0.007,True,1.1434068136401040486495896920
0.002,0.14,0.112,0.019,True,1.1428667321311313875500126276
0.002,0.14,0.113,0.019,True,1.1428667321311313875500126276
0.031,0.17,0.119,0.027,False,1.1404202597796031613272160645
0.031,0.17,0.120,0.027,False,1.1404202597796031613272160645
0.001,0.08,0.112,0.017,True,1.1393402318222837429013031244
0.001,0.08,0.113,0.017,True,1.1393402318222837429013031244
0.001,0.08,0.114,0.017,True,1.1393402318222837429013031244
0.001,0.14,0.112,0.019,True,1.1380275026123456552917271348
0.001,0.14,0.113,0.019,True,1.1380275026123456552917271348
0.031,0.17,0.118,0.026,False,1.1365624701413641758234902514
0.031,0.17,0.119,0.026,False,1.1365624701413641758234902514
0.031,0.17,0.120,0.026,False,1.1365624701413641758234902514
0.002,0.03,0.112,0.019,True,1.1360236839056919034338208922
0.001,0.06,0.116,0.019,True,1.1325283333742526743850274707
0.001,0.06,0.117,0.019,True,1.1325283333742526743850274707
0.001,0.06,0.118,0.019,True,1.1325283333742526743850274707
0.027,0.02,0.118,0.008,False,1.1324636196996186341025809494
0.002,0.06,0.112,0.019,True,1.1320372961952750088744588417
0.006,0.14,0.112,0.017,True,1.1316986545084419182342812950
0.002,0.06,0.115,0.019,True,1.1305294500666477678089190710
0.002,0.06,0.116,0.019,True,1.1305294500666477678089190710
0.002,0.06,0.117,0.019,True,1.1305294500666477678089190710
0.002,0.22,0.119,0.019,True,1.1279177689174060258656992176
0.002,0.22,0.120,0.019,True,1.1279177689174060258656992176
