StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.27,0.091,0.028,False,1.4295585243598645203891858205
0.015,0.27,0.091,0.027,False,1.3525695226088801232714374752
0,0.13,0.094,0.022,True,1.3484649611245951182244412786
0,0.14,0.094,0.022,True,1.3134957738535653942913384319
0,0.15,0.094,0.022,True,1.3074829022433424877269066856
0.007,0,0.094,0.012,True,1.2948622675012150039566907103
0.007,0,0.091,0.013,True,1.2926019232479976713535046256
0.007,0,0.092,0.013,True,1.2926019232479976713535046256
0.007,0,0.093,0.013,True,1.2926019232479976713535046256
0.006,0.06,0.098,0.007,True,1.2914025397953643054562824084
0.006,0.06,0.099,0.007,True,1.2914025397953643054562824084
0.006,0.07,0.098,0.007,True,1.2744042526558800810078401445
0.006,0.07,0.099,0.007,True,1.2744042526558800810078401445
0,0.08,0.097,0.015,True,1.2701894023037190377150354448
0.006,0.08,0.098,0.007,True,1.2541462873361985903332734384
0.002,0.16,0.092,0.021,True,1.2471146777317613676434014465
0.002,0.16,0.093,0.021,True,1.2471146777317613676434014465
0.011,0.10,0.100,0.023,True,1.2468655495632495129519044400
0,0.08,0.099,0.015,True,1.2462481770345102764163041283
0,0.16,0.094,0.022,True,1.2409584920234879415743091538
0.011,0.11,0.100,0.023,True,1.2383631548096364136602355335
0.005,0.05,0.098,0.007,True,1.2362130579446801955931094351
0.005,0.05,0.099,0.007,True,1.2362130579446801955931094351
0,0.13,0.093,0.022,True,1.2274233493912441508102923311
0.008,0.10,0.095,0.008,True,1.2267673744790713455552941948
0,0.11,0.094,0.022,True,1.2261562705222654852498923518
0,0.17,0.094,0.022,True,1.2253556673473250389128206519
0.006,0.28,0.091,0.022,True,1.2240042743562021571537219288
0,0.08,0.098,0.015,True,1.2225803758527590531351809687
0.012,0.10,0.099,0.024,True,1.2225055029854834651123029644
0,0.08,0.094,0.022,True,1.2222150152707122053789993689
0.005,0.06,0.098,0.007,True,1.2217586310989890534262515405
0.005,0.06,0.099,0.007,True,1.2217586310989890534262515405
0.002,0.13,0.092,0.021,True,1.2214486375462663761925756976
0.002,0.13,0.093,0.021,True,1.2214486375462663761925756976
0,0.12,0.094,0.022,True,1.2182569529473098699891076700
0,0.18,0.094,0.022,True,1.2175275587755984848349096229
0,0.09,0.097,0.015,True,1.2174904445457785695738830552
0,0.11,0.095,0.022,True,1.2144253743952672598641539004
0.012,0.11,0.098,0.024,True,1.2129752341783957841147710677
0.012,0.11,0.099,0.024,True,1.2129752341783957841147710677
0.006,0.29,0.091,0.022,True,1.2121692886856421127826989472
0,0.12,0.095,0.022,True,1.2117273300349914856252903602
0.007,0.08,0.099,0.015,True,1.2087026900917239973859205998
0.005,0.07,0.098,0.007,True,1.2056420351840177476003286047
0.005,0.07,0.099,0.007,True,1.2056420351840177476003286047
0.003,0.05,0.094,0.021,True,1.2046708536469625590800404824
0.027,0.20,0.091,0.027,True,1.2003698930134627173167336486
0.002,0.14,0.092,0.021,True,1.1988189740691540484450727524
0.002,0.14,0.093,0.021,True,1.1988189740691540484450727524
0.002,0.03,0.100,0.009,True,1.1981734064758441227367356823
0.002,0.01,0.094,0.020,True,1.1980667040910233140588208383
0.002,0.04,0.100,0.009,True,1.1968577024303187726176602148
0.003,0.06,0.094,0.021,True,1.1966735481577581674339848602
0.008,0.10,0.093,0.008,True,1.1961609194062530121114078810
0.008,0.10,0.094,0.008,True,1.1961609194062530121114078810
0.011,0.12,0.100,0.023,True,1.1960275726348472076553573830
0,0.13,0.095,0.022,True,1.1943474840710829346175105197
0.002,0.05,0.100,0.009,True,1.1941593446705847523501973864
0.002,0.02,0.094,0.020,True,1.1928681369921153460485169363
0.006,0.07,0.094,0.013,True,1.1922870527819772727109173684
0,0.11,0.097,0.015,True,1.1916690717253930710370807078
0.003,0.08,0.096,0.021,True,1.1905857739870765779744595340
0.003,0.07,0.094,0.021,True,1.1885336857484571292167862979
0.002,0.06,0.100,0.009,True,1.1878053812281153832610792715
0.002,0.03,0.094,0.020,True,1.1856803974830065303252409865
0.005,0.08,0.098,0.007,True,1.1854728913731575110648909599
0,0.10,0.094,0.022,True,1.1852947734678196286656439328
0.003,0.10,0.099,0.019,True,1.1837905374517922941222904715
0.027,0.20,0.091,0.028,True,1.1837393370412174799583555101
0.014,0.26,0.091,0.028,False,1.1820472926781109124007214640
0.002,0.07,0.100,0.009,True,1.1804179017241292431915353331
0.003,0.09,0.096,0.021,True,1.1793400292828747493323474490
0.027,0.20,0.091,0.029,True,1.1777491246030780968731934182
0.002,0.13,0.095,0.022,True,1.1767538651746825171545767595
0,0.09,0.098,0.015,True,1.1758826578254266950623367272
0,0.09,0.099,0.015,True,1.1758826578254266950623367272
0.009,0.10,0.099,0.025,True,1.1746880157613170663248432613
0.003,0.08,0.097,0.021,True,1.1739121500499226847664593069
0.003,0.08,0.095,0.021,True,1.1726268694733619990527240360
0.003,0.08,0.094,0.021,True,1.1725867345815399763635210839
0,0.10,0.095,0.022,True,1.1725347334899587575251041232
0.007,0.10,0.100,0.024,True,1.1718626701858319127352147349
0.027,0.20,0.091,0.025,True,1.1709210578856509129074131538
0,0.14,0.093,0.022,True,1.1708585522493778502805987691
0.003,0.13,0.092,0.022,True,1.1704944765914535478738658261
0.003,0.13,0.093,0.022,True,1.1704944765914535478738658261
0.011,0.09,0.095,0.012,True,1.1704827799691396606563410797
0.006,0.08,0.094,0.013,True,1.1679980834718999630581142860
0.005,0.10,0.099,0.015,True,1.1678279685484711977061348381
0.002,0.13,0.096,0.022,True,1.1655414343335946524376643802
0.002,0.13,0.097,0.022,True,1.1655414343335946524376643802
0.002,0.16,0.092,0.020,True,1.1654594687163550856539007636
0.002,0.16,0.091,0.021,True,1.1645148510545712740873522948
0.006,0.08,0.099,0.007,True,1.1643437626669820530945405221
0.003,0.09,0.097,0.021,True,1.1638892615223703634370231307
0.003,0.28,0.094,0.022,True,1.1635285546448038262145632746
0,0.14,0.095,0.022,True,1.1631986531737856502636443304
0.010,0.10,0.095,0.012,True,1.1624985259770470669517622354
0.002,0.13,0.094,0.022,True,1.1624413910339914708771069638
