StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.07,0.053,0.013,False,1.8436868035818583648553037462
0.026,0.07,0.053,0.014,False,1.8318340823211612005819716639
0.027,0.08,0.053,0.013,False,1.8303472215480565143440468174
0.027,0.07,0.053,0.014,False,1.7756509178950659342630585098
0.027,0.08,0.053,0.014,False,1.7622635100264850815306907614
0.028,0.09,0.053,0.013,False,1.7607723639924258378831288681
0.028,0.10,0.053,0.013,False,1.7448324791808158019365239126
0.027,0.09,0.054,0.013,False,1.7438835547655002811663197667
0.026,0.07,0.054,0.017,False,1.7397902987470358404830922851
0.026,0.07,0.054,0.016,False,1.7322668019681959462953909205
0.028,0.09,0.053,0.012,False,1.7160962427652585432026473701
0.026,0.07,0.053,0.016,False,1.7155436159998371246995417021
0.027,0.09,0.053,0.013,False,1.7153964364455533615439644025
0.028,0.08,0.052,0.014,False,1.7100183630373439161121949297
0.026,0.07,0.053,0.015,False,1.7057180921473910402493208733
0.028,0.03,0.051,0.014,False,1.7002320626422505701098477187
0.028,0.10,0.053,0.012,False,1.6984378642412301784186934946
0.028,0.09,0.053,0.014,False,1.6902457013597714144771370249
0.029,0.10,0.053,0.013,False,1.6881395307146195546055069775
0.026,0.07,0.053,0.013,False,1.6824086515783724801199663545
0.030,0.10,0.052,0.010,False,1.6791947292759868127567671066
0.026,0.07,0.054,0.013,False,1.6790112317053144047454497355
0.030,0.11,0.053,0.011,False,1.6784653967534937390218457627
0.028,0.08,0.052,0.013,False,1.6763502429999496518786517242
0.026,0.07,0.051,0.014,False,1.6747995860837728902781395082
0.029,0.11,0.053,0.013,False,1.6743048150076700947966395030
0.028,0.10,0.053,0.014,False,1.6742620840707989936839153120
0.028,0.10,0.054,0.013,False,1.6741494585230697399450594762
0.026,0.07,0.052,0.014,False,1.6716169712361051233485065951
0.027,0.09,0.054,0.014,False,1.6716111011820854869949079321
0.030,0.11,0.053,0.010,False,1.6698596514576693586103281468
0.027,0.09,0.052,0.014,False,1.6692707951539139678434579864
0.027,0.08,0.052,0.014,False,1.6661993587053785035933127535
0.029,0,0.052,0.014,False,1.6658966287185183193066825086
0.027,0.03,0.051,0.014,False,1.6647304183147381153017543031
0.027,0.10,0.054,0.013,False,1.6593649441297180575674912164
0.030,0.10,0.052,0.011,False,1.6580868519236380244336430020
0.028,0.11,0.054,0.013,False,1.6576274010797762866922780727
0.030,0.11,0.052,0.010,False,1.6574296630711214236008368186
0.030,0.12,0.053,0.011,False,1.6566285455338977206681634249
0.027,0.07,0.053,0.016,False,1.6562415919358314597658145727
0.027,0.03,0.051,0.013,False,1.6556085089977510829659670022
0.029,0.09,0.052,0.014,False,1.6555707221511661524023689256
0.026,0.08,0.052,0.014,False,1.6554092083073430860110287429
0.030,0.09,0.051,0.011,False,1.6547373615908826024449500425
0.029,0.03,0.051,0.014,False,1.6536844889222950619287492699
0.029,0.03,0.051,0.013,False,1.6530004364963046094256410894
0.031,0.03,0.051,0.013,False,1.6525555141892940601635739040
0.026,0.08,0.053,0.014,False,1.6503024011797977718932883362
0.029,0.09,0.052,0.012,False,1.6492689754122853761610924540
0.030,0.12,0.053,0.010,False,1.6476278025021442655495631645
0.027,0.07,0.053,0.015,False,1.6472853553579163456498643282
0.027,0.09,0.053,0.014,False,1.6459049530356289983784713459
0.030,0.09,0.051,0.010,False,1.6457278715553696690017923690
0.031,0.03,0.051,0.014,False,1.6432986338497806179148268371
0.027,0.08,0.053,0.016,False,1.6413473748204119350821465426
0.029,0.10,0.053,0.012,False,1.6400363235029045430776219547
0.029,0,0.052,0.013,False,1.6394412389293153435477807906
0.029,0.10,0.052,0.014,False,1.6387548808005381979049402879
0.027,0.09,0.052,0.013,False,1.6371428148037139635747205612
0.030,0.11,0.052,0.011,False,1.6363772537868890037610711524
0.027,0.04,0.055,0.013,False,1.6349981668587885099355175497
0.030,0,0.051,0.013,False,1.6349271293610125371290050750
0.027,0.08,0.052,0.013,False,1.6335249917406092955213584619
0.027,0.08,0.053,0.015,False,1.6333972588623851102809272217
0.030,0.10,0.052,0.012,False,1.6331767925360589545749134485
0.027,0.10,0.053,0.013,False,1.6327818748999424284551799097
0.027,0.07,0.051,0.014,False,1.6318750152954881144753161928
0.029,0.10,0.052,0.012,False,1.6307981241011218732376988272
0.028,0.10,0.054,0.012,False,1.6305614366758693038073161195
0.028,0.11,0.053,0.013,False,1.6294563893393630438109322165
0.030,0.01,0.051,0.013,False,1.6286166058232161265320973478
0.026,0.09,0.053,0.014,False,1.6281674809513125308197063142
0.030,0.11,0.053,0.012,False,1.6258815097004755100482764359
0.029,0.11,0.053,0.012,False,1.6244248457663963851360033442
0.030,0,0.051,0.014,False,1.6242723060615736258666708077
0.030,0.02,0.051,0.013,False,1.6239805555407462568400644183
0.029,0.09,0.052,0.013,False,1.6226125128424707324318038946
0.026,0.09,0.054,0.014,False,1.6222759996030077602697815292
0.027,0.07,0.051,0.013,False,1.6217668447634313726671936699
0.030,0.01,0.051,0.014,False,1.6194176940626699704383116941
0.028,0.02,0.051,0.014,False,1.6191894831449387348675884693
0.027,0.08,0.051,0.014,False,1.6179807415334142033521071401
0.027,0.07,0.052,0.014,False,1.6159399436832003518106832814
0.028,0.02,0.052,0.014,False,1.6158632930867876518773728333
0.029,0.10,0.053,0.014,False,1.6157394522642190956327887580
0.030,0.02,0.051,0.014,False,1.6152531178797542158919481053
0.027,0.11,0.053,0.013,False,1.6133926563389790017276398411
0.030,0.11,0.052,0.012,False,1.6130381443198265055934138048
0.030,0.11,0.053,0.013,False,1.6130173003107004183292136537
0.028,0.11,0.054,0.012,False,1.6120323932355456133785562840
0.027,0,0.052,0.014,False,1.6120251194122712998763925552
0.028,0.09,0.052,0.014,False,1.6116625873451581570301013281
0.027,0.01,0.052,0.014,False,1.6098672215147820203154031560
0.028,0.01,0.054,0.028,False,1.6084996551971567483072781261
0.027,0.08,0.051,0.013,False,1.6078715055356655475918595504
0.028,0.09,0.052,0.012,False,1.6071455247438365684967852171
0.029,0.10,0.052,0.013,False,1.6060481261983559379039397871
0.030,0.12,0.053,0.012,False,1.6047927823540305143509034344
0.028,0.09,0.053,0.011,False,1.6045774960402757591972873760
