StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.07,0.170,0.017,True,1.2592620144176237824897079073
0.012,0.07,0.170,0.018,True,1.2534602083855812872063361418
0.013,0.07,0.170,0.017,True,1.2352100790977167871427698371
0.013,0.07,0.170,0.018,True,1.2304433650279153787521071984
0.012,0.07,0.168,0.018,False,1.2239870936117277483804587347
0.012,0.07,0.169,0.018,False,1.2239870936117277483804587347
0.012,0.07,0.170,0.018,False,1.2239870936117277483804587347
0.021,0.07,0.170,0.029,False,1.2234624949551083242839567415
0.014,0.07,0.170,0.017,True,1.2086220715038083456035660663
0.012,0.07,0.169,0.019,True,1.2076747460246101318315634428
0.012,0.07,0.170,0.019,True,1.2076747460246101318315634428
0.014,0.07,0.170,0.018,True,1.2040808397001247343115410310
0.022,0.07,0.170,0.029,False,1.2014805193573946890199781564
0.012,0.07,0.169,0.020,True,1.2010160676020807496606285926
0.012,0.07,0.170,0.020,True,1.2010160676020807496606285926
0.013,0.07,0.170,0.019,False,1.1944132067656940619231322788
0.012,0.07,0.168,0.019,False,1.1930441328476074303737984687
0.012,0.07,0.169,0.019,False,1.1930441328476074303737984687
0.012,0.07,0.170,0.019,False,1.1930441328476074303737984687
0.013,0.07,0.169,0.019,True,1.1836467604831035286073796762
0.013,0.07,0.170,0.019,True,1.1836467604831035286073796762
0.023,0.07,0.170,0.029,False,1.1792471242345603036406741781
0.013,0.07,0.169,0.020,True,1.1784183932842243082067316566
0.013,0.07,0.170,0.020,True,1.1784183932842243082067316566
0.013,0.07,0.168,0.018,False,1.1713225136310304060439409160
0.013,0.07,0.169,0.018,False,1.1713225136310304060439409160
0.013,0.07,0.170,0.018,False,1.1713225136310304060439409160
0.015,0.07,0.170,0.018,True,1.1691990911090053173528293972
0.012,0.07,0.169,0.021,True,1.1599793167061034619165352234
0.012,0.07,0.170,0.021,True,1.1599793167061034619165352234
0.022,0.07,0.170,0.028,False,1.1598352086836979153121509487
0.024,0.07,0.170,0.029,False,1.1573076260539181297392832144
0.021,0.07,0.168,0.025,False,1.1560025764468451961442574029
0.021,0.07,0.169,0.025,False,1.1560025764468451961442574029
0.021,0.07,0.170,0.025,False,1.1560025764468451961442574029
0.014,0.07,0.169,0.019,True,1.1543265386139342578129351459
0.014,0.07,0.170,0.019,True,1.1543265386139342578129351459
0.014,0.07,0.169,0.020,True,1.1496793090267606411319231767
0.014,0.07,0.170,0.020,True,1.1496793090267606411319231767
0.025,0.07,0.170,0.029,False,1.1486417573601382570334307088
0.014,0.07,0.169,0.021,True,1.1456304821339461493245496354
0.014,0.07,0.170,0.021,True,1.1456304821339461493245496354
0.023,0.07,0.170,0.028,False,1.1395376811310632791439810854
0.016,0.07,0.169,0.019,True,1.1349760786417985433993242416
0.016,0.07,0.170,0.019,True,1.1349760786417985433993242416
0.022,0.07,0.168,0.025,False,1.1347870589160325942242361760
0.022,0.07,0.169,0.025,False,1.1347870589160325942242361760
0.022,0.07,0.170,0.025,False,1.1347870589160325942242361760
0.013,0.07,0.169,0.021,True,1.1337528084258885019967069149
0.013,0.07,0.170,0.021,True,1.1337528084258885019967069149
0.002,0.06,0.165,0.016,True,1.1335883568849782077775999595
0.016,0.07,0.169,0.020,True,1.1314620964082100189786359144
0.016,0.07,0.170,0.020,True,1.1314620964082100189786359144
0.021,0.07,0.168,0.029,False,1.1313147308378960029318771669
0.021,0.07,0.169,0.029,False,1.1313147308378960029318771669
0.020,0.07,0.170,0.030,False,1.1301915336244830788180421716
0.026,0.07,0.170,0.029,False,1.1300848265415935859217653667
0.026,0.07,0.168,0.024,False,1.1290566848937908436690886583
0.026,0.07,0.169,0.024,False,1.1290566848937908436690886583
0.026,0.07,0.170,0.024,False,1.1290566848937908436690886583
0.020,0.08,0.170,0.030,False,1.1274722029222748059580347156
0.016,0.07,0.169,0.021,True,1.1267316541328567521301036357
0.016,0.07,0.170,0.021,True,1.1267316541328567521301036357
0.020,0.09,0.170,0.030,False,1.1234784094670549754886413608
0.003,0.06,0.165,0.016,True,1.1224910375906971429612798896
0.001,0.06,0.164,0.017,True,1.1207657194745261896629810996
0.001,0.06,0.165,0.017,True,1.1207657194745261896629810996
0.017,0.16,0.168,0.029,False,1.1197813156100230939037559207
0.017,0.16,0.169,0.029,False,1.1197813156100230939037559207
0.017,0.16,0.170,0.029,False,1.1197813156100230939037559207
0.024,0.07,0.170,0.028,False,1.1196753530823028576535553774
