StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.010,0.02,0.085,0.016,False,1.5109835129146906620287198695
0.010,0.02,0.087,0.016,False,1.4549443707572023634219499795
0.016,0.04,0.084,0.019,False,1.4507437660417813016444847752
0.010,0.02,0.086,0.016,False,1.4491581035606028401154778488
0.016,0.01,0.082,0.027,True,1.4367611813734251201962159533
0.016,0.01,0.082,0.028,True,1.4019215900722696930232461688
0.014,0.02,0.082,0.026,True,1.3995172818192352754705975521
0.014,0.02,0.081,0.026,True,1.3943307511909183189988534467
0.004,0.02,0.081,0.015,True,1.3923200628786005415276798435
0.010,0.02,0.084,0.016,False,1.3893606888946248687408885748
0.011,0.01,0.086,0.016,False,1.3864304252186964543775876591
0.014,0.03,0.082,0.026,True,1.3734449427356959034687361494
0.016,0.05,0.083,0.019,False,1.3727409408855278089839377683
0.014,0.01,0.082,0.026,True,1.3685802273502283954568919218
0.010,0.03,0.085,0.016,False,1.3658356433110887359253258974
0.015,0.03,0.081,0.026,True,1.3611507697577657870218588958
0.015,0.03,0.081,0.027,True,1.3583394226235390924897277104
0.015,0.03,0.082,0.027,True,1.3583394226235390924897277104
0.004,0.03,0.081,0.015,True,1.3565372777993986060136535547
0.024,0.10,0.081,0.013,False,1.3537352322079505021418899334
0.024,0.10,0.082,0.013,False,1.3537352322079505021418899334
0.012,0.01,0.086,0.016,False,1.3480606718277868735023162597
0.014,0,0.084,0.026,True,1.3465527178465344290334112360
0.014,0,0.085,0.026,True,1.3465527178465344290334112360
0.014,0,0.086,0.026,True,1.3465527178465344290334112360
0.014,0.01,0.087,0.024,True,1.3395799919857254682662763678
0.017,0.01,0.087,0.026,True,1.3390662268876110081464219203
0.017,0.01,0.088,0.026,True,1.3390662268876110081464219203
0.012,0.02,0.089,0.015,False,1.3370365872852481444903783770
0.018,0.01,0.084,0.026,True,1.3324274543816713910007386336
0.018,0.01,0.085,0.026,True,1.3324274543816713910007386336
0.018,0.01,0.086,0.026,True,1.3324274543816713910007386336
0.012,0.02,0.086,0.016,False,1.3319491572693199461877820864
0.022,0.06,0.083,0.037,True,1.3311077868145469073305198266
0.015,0.01,0.082,0.027,True,1.3278476095958196520299394588
0.018,0.01,0.085,0.027,True,1.3261099033920204433014983220
0.015,0.02,0.081,0.025,True,1.3247462068270742632715036220
0.017,0.01,0.085,0.026,True,1.3186439470298448369973753636
0.017,0.01,0.086,0.026,True,1.3186439470298448369973753636
0.014,0.01,0.085,0.024,True,1.3170439064375323018885498430
0.014,0.01,0.086,0.024,True,1.3170439064375323018885498430
0.020,0.09,0.083,0.013,False,1.3169294403678452996986681526
0.010,0.01,0.088,0.016,False,1.3140742500781322464930289519
0.011,0.08,0.082,0.016,False,1.3135394268312423443061708349
0.010,0.01,0.085,0.016,False,1.3129850377734215253776105820
0.004,0.04,0.081,0.015,True,1.3118430412870259153356952716
