StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.05,0.169,0.002,False,1.2785507215577737233501846708
0.012,0.05,0.170,0.002,False,1.2785507215577737233501846708
0.012,0.06,0.169,0.002,False,1.2681077175482491374891233843
0.012,0.06,0.170,0.002,False,1.2681077175482491374891233843
0.012,0.07,0.169,0.002,False,1.2621522682945615355929256919
0.012,0.07,0.170,0.002,False,1.2621522682945615355929256919
0.021,0.08,0.170,0.003,False,1.2590561275073910169777366788
0.012,0.08,0.169,0.002,False,1.2562435802727178235079832803
0.012,0.05,0.168,0.002,False,1.2533612169823986214531326509
0.012,0.06,0.168,0.002,False,1.2435456128315291623865114655
0.014,0.05,0.170,0.002,False,1.2399715625240033930526488744
0.012,0.07,0.168,0.002,False,1.2380922747638982715197408565
0.023,0.08,0.170,0.003,False,1.2375635101004838839778148404
0.012,0.08,0.168,0.002,False,1.2321837981039943080538084011
0.012,0.05,0.164,0.002,False,1.2309632483779147336557000448
0.012,0.05,0.165,0.002,False,1.2309632483779147336557000448
0.012,0.05,0.166,0.002,False,1.2309632483779147336557000448
0.012,0.05,0.167,0.002,False,1.2309632483779147336557000448
0.014,0.06,0.170,0.002,False,1.2295320722812279848153032266
0.022,0.08,0.169,0.003,False,1.2284184371798849321285328363
0.022,0.08,0.170,0.003,False,1.2284184371798849321285328363
0.024,0.08,0.169,0.003,False,1.2094730065960526543316972803
0.024,0.08,0.170,0.003,False,1.2094730065960526543316972803
0.013,0.05,0.169,0.002,False,1.2076977135137402487996616269
0.013,0.05,0.170,0.002,False,1.2076977135137402487996616269
0.014,0.07,0.170,0.002,False,1.1979453735196064447626788440
0.013,0.06,0.169,0.002,False,1.1972561790253565331485973095
0.013,0.06,0.170,0.002,False,1.1972561790253565331485973095
0.022,0.10,0.161,0.003,False,1.1955288996360943388000036437
0.022,0.10,0.162,0.003,False,1.1955288996360943388000036437
0.023,0.08,0.169,0.003,False,1.1916021184287443368804401835
0.014,0.05,0.169,0.002,False,1.1913887779490268478939027157
0.018,0.10,0.167,0.003,False,1.1893177938807415843665338913
0.018,0.10,0.168,0.003,False,1.1893177938807415843665338913
0.018,0.10,0.169,0.003,False,1.1893177938807415843665338913
0.013,0.08,0.169,0.002,False,1.1864251298042537478588754252
0.014,0.05,0.168,0.002,False,1.1855524533787408901518700507
0.015,0.05,0.170,0.002,False,1.1849452153665640006277380401
0.013,0.07,0.167,0.002,False,1.1823908642692739361427167815
0.013,0.05,0.168,0.002,False,1.1815518559971518561245004160
0.014,0.06,0.169,0.002,False,1.1794291250883775125278992896
0.013,0.08,0.167,0.002,False,1.1750281909576821101776009890
0.015,0.06,0.170,0.002,False,1.1746113052185977752410000313
0.014,0.06,0.168,0.002,False,1.1742222178889737354458338741
0.014,0.05,0.162,0.002,False,1.1724081030105206272087144625
0.014,0.05,0.163,0.002,False,1.1724081030105206272087144625
0.014,0.05,0.164,0.002,False,1.1724081030105206272087144625
