StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.016,0.04,0.084,0.019,False,1.5902187708123006917103727210
0.016,0.01,0.082,0.027,True,1.5762361861439445102621038991
0.014,0.02,0.082,0.026,True,1.5430843855853411721239070889
0.016,0.01,0.082,0.028,True,1.5413965948427890830891341146
0.014,0.02,0.081,0.026,True,1.5378978549570242156521629835
0.014,0.03,0.082,0.026,True,1.5170120465018018001220456862
0.014,0.01,0.082,0.026,True,1.5121473311163342921102014586
0.016,0.05,0.083,0.019,False,1.5106854595769390062192460753
0.015,0.03,0.081,0.026,True,1.5027683170435871644881057489
0.015,0.03,0.081,0.027,True,1.4999569699093604699559745635
0.015,0.03,0.082,0.027,True,1.4999569699093604699559745635
0.012,0.01,0.086,0.016,False,1.4959237757061391627303912724
0.014,0,0.084,0.026,True,1.4901198216126403256867207728
0.014,0,0.085,0.026,True,1.4901198216126403256867207728
0.014,0,0.086,0.026,True,1.4901198216126403256867207728
0.012,0.02,0.089,0.015,False,1.4848996911636004337184533897
0.020,0,0.129,0.024,True,1.4832153509799459567161314872
0.014,0.01,0.087,0.024,True,1.4831470957518313649195859046
0.012,0.02,0.086,0.016,False,1.4798122611476722354158570991
0.017,0.01,0.087,0.026,True,1.4764009424281264701455647331
0.017,0.01,0.088,0.026,True,1.4764009424281264701455647331
0.015,0.01,0.082,0.027,True,1.4694651568816410294961863119
0.018,0.01,0.084,0.026,True,1.4678185725659188870382314705
0.018,0.01,0.085,0.026,True,1.4678185725659188870382314705
0.018,0.01,0.086,0.026,True,1.4678185725659188870382314705
0.015,0.02,0.081,0.025,True,1.4663637541128956407377504751
0.018,0.01,0.085,0.027,True,1.4615010215762679393389911589
0.014,0.01,0.085,0.024,True,1.4606110102036381985418593798
0.014,0.01,0.086,0.024,True,1.4606110102036381985418593798
0.012,0.01,0.089,0.015,False,1.4573015776117371053838725689
0.017,0.01,0.085,0.026,True,1.4559786625703602989965181764
0.017,0.01,0.086,0.026,True,1.4559786625703602989965181764
0.022,0.06,0.083,0.037,True,1.4556185155295714190196216922
0.016,0.04,0.082,0.027,True,1.4403791206568752071432826077
0.012,0.02,0.085,0.016,False,1.4398416777283051121698750201
0.013,0.01,0.086,0.016,False,1.4359804426564846893550619592
0.016,0.04,0.081,0.027,True,1.4359415515657201226515291718
0.015,0.01,0.084,0.026,True,1.4334828033588124803249101268
0.015,0.01,0.085,0.026,True,1.4334828033588124803249101268
0.015,0.01,0.086,0.026,True,1.4334828033588124803249101268
0.015,0.01,0.084,0.027,True,1.4303017987309379192483479884
0.015,0.01,0.085,0.027,True,1.4303017987309379192483479884
0.014,0.01,0.085,0.026,True,1.4279302136857230042336306751
0.014,0.01,0.086,0.026,True,1.4279302136857230042336306751
0.015,0.02,0.081,0.026,True,1.4275727027628497727658463395
0.020,0,0.143,0.018,False,1.4264804102756861763361580311
0.020,0,0.144,0.018,False,1.4264804102756861763361580311
0.016,0.04,0.082,0.028,True,1.4231354860784619240931540525
0.014,0.01,0.134,0.019,False,1.4192518704416148338965890873
0.015,0.04,0.082,0.027,True,1.4187474962227742278756918472
0.012,0.03,0.086,0.016,False,1.4177793732080046162736446268
0.014,0,0.083,0.024,True,1.4137874332173658832143560772
0.016,0.02,0.082,0.028,True,1.4136906234043511129850674240
0.019,0.01,0.084,0.027,True,1.4131138234327380560597812915
0.019,0.01,0.085,0.027,True,1.4131138234327380560597812915
0.014,0,0.087,0.024,True,1.4100907652711453214018288665
0.015,0,0.150,0.001,True,1.4088354310301510696195240160
0.015,0,0.151,0.001,True,1.4088354310301510696195240160
0.015,0,0.152,0.001,True,1.4088354310301510696195240160
0.015,0,0.153,0.001,True,1.4088354310301510696195240160
0.016,0.02,0.081,0.028,True,1.4084197367843194517639533916
0.013,0.01,0.126,0.015,True,1.4080575681409630374487275202
0.013,0.01,0.127,0.015,True,1.4080575681409630374487275202
0.013,0.01,0.128,0.015,True,1.4080575681409630374487275202
0.013,0.02,0.086,0.016,False,1.4042480537607480183824421512
0.016,0.04,0.081,0.028,True,1.4030919309317308883838949107
0.014,0.02,0.134,0.019,False,1.4024094249926989669191898303
0.014,0,0.087,0.026,True,1.4015511097431554415080431318
0.014,0,0.088,0.026,True,1.4015511097431554415080431318
0.013,0.01,0.082,0.024,True,1.4006652324920374575428792789
0.014,0.01,0.088,0.024,True,1.3999625589943298577107237845
0.020,0,0.140,0.018,False,1.3968092861817825068782423558
0.020,0,0.141,0.018,False,1.3968092861817825068782423558
0.020,0,0.142,0.018,False,1.3968092861817825068782423558
0.020,0,0.139,0.018,False,1.3967594171373505683188154633
0.013,0.01,0.134,0.016,True,1.3959070395981333881637219825
0.015,0.02,0.082,0.027,True,1.3943583889187015951171109095
0.016,0.03,0.081,0.028,True,1.3924522007493491438923088182
0.016,0.03,0.082,0.028,True,1.3924522007493491438923088182
0.017,0.03,0.081,0.028,True,1.3913744598496028673806903415
0.016,0.02,0.082,0.027,True,1.3898888149478393214594282684
0.014,0.02,0.083,0.026,True,1.3897260456712401256020785349
0.014,0.02,0.084,0.026,True,1.3897260456712401256020785349
0.014,0.02,0.085,0.026,True,1.3897260456712401256020785349
0.014,0.02,0.086,0.026,True,1.3897260456712401256020785349
0.014,0,0.084,0.024,True,1.3892775427299246098493870704
0.014,0,0.085,0.024,True,1.3892775427299246098493870704
0.014,0,0.086,0.024,True,1.3892775427299246098493870704
0.015,0.02,0.081,0.027,True,1.3890764921576043974345606599
0.015,0.03,0.081,0.025,True,1.3886564073595465133974576531
0.013,0.02,0.082,0.024,True,1.3875107506978003561638167834
0.014,0.01,0.087,0.026,True,1.3851886096214021459141301512
0.016,0.02,0.081,0.027,True,1.3846179283278076602383142360
0.013,0,0.084,0.024,True,1.3842950867723574716383021976
0.014,0,0.089,0.024,True,1.3832696770016421469896424642
0.012,0.03,0.085,0.016,False,1.3828603364535804370454797873
0.015,0.01,0.134,0.019,False,1.3827585167983332291071387913
0.013,0.01,0.087,0.024,True,1.3817920807806720627420899572
0.016,0.05,0.082,0.027,True,1.3811254151907728863675736590
0.017,0.03,0.081,0.029,True,1.3802953959399414306350484639
0.017,0.03,0.082,0.029,True,1.3802953959399414306350484639
0.019,0.01,0.086,0.028,True,1.3801657492033940902277829954
0.014,0.01,0.083,0.024,True,1.3797768081261204152754852184
0.014,0.01,0.084,0.024,True,1.3797768081261204152754852184
0.014,0.02,0.088,0.026,True,1.3795750266042888964949250650
0.016,0,0.150,0.001,True,1.3785021155143105214308757192
0.016,0,0.151,0.001,True,1.3785021155143105214308757192
0.016,0,0.152,0.001,True,1.3785021155143105214308757192
0.016,0,0.153,0.001,True,1.3785021155143105214308757192
0.014,0.01,0.131,0.019,False,1.3776070632715918281675714679
0.008,0,0.116,0.008,True,1.3775664640294521330520347760
0.008,0,0.117,0.008,True,1.3775664640294521330520347760
0.012,0.01,0.085,0.016,False,1.3773096861865940396957819690
0.014,0.01,0.089,0.024,True,1.3737099487446260349456890223
0.019,0.01,0.083,0.028,True,1.3733684170229854647659850717
0.019,0.01,0.084,0.028,True,1.3733684170229854647659850717
0.019,0.01,0.085,0.028,True,1.3733684170229854647659850717
0.014,0.01,0.087,0.025,True,1.3706824216203423584125082914
0.028,0.04,0.124,0.020,True,1.3691421358210327883878520182
0.028,0.04,0.125,0.020,True,1.3691421358210327883878520182
0.016,0.03,0.081,0.027,True,1.3676303507927246527821077831
0.016,0.03,0.082,0.027,True,1.3676303507927246527821077831
0.015,0.02,0.134,0.019,False,1.3667092079647597445091979007
0.014,0.03,0.083,0.026,True,1.3656032957132213215788649087
0.014,0.03,0.084,0.026,True,1.3656032957132213215788649087
0.014,0.03,0.085,0.026,True,1.3656032957132213215788649087
0.014,0.03,0.086,0.026,True,1.3656032957132213215788649087
0.031,0.05,0.122,0.022,True,1.3655217540741297860499214075
0.031,0.05,0.123,0.022,True,1.3655217540741297860499214075
0.013,0.01,0.086,0.024,True,1.3649120133930334461657396051
0.027,0.04,0.124,0.020,True,1.3647934362283238561976393347
0.027,0.04,0.125,0.020,True,1.3647934362283238561976393347
0.016,0.05,0.082,0.028,True,1.3635775493845784044398424230
0.014,0.01,0.083,0.026,True,1.3626437153396638775253035551
0.014,0.01,0.084,0.026,True,1.3626437153396638775253035551
0.031,0,0.112,0.001,True,1.3624667485580537416036683838
0.026,0.16,0.085,0.012,True,1.3620721531318168465348640744
0.031,0.05,0.122,0.021,True,1.3612262437122134230392321669
0.031,0.05,0.123,0.021,True,1.3612262437122134230392321669
0.017,0.04,0.082,0.029,True,1.3608055823395534759037006764
0.013,0.02,0.084,0.016,False,1.3607809396982372334060389856
0.013,0.02,0.085,0.016,False,1.3607809396982372334060389856
0.013,0.03,0.115,0.021,False,1.3607043496814680515177972908
0.013,0,0.083,0.024,True,1.3565031959592334097784977527
0.014,0,0.134,0.019,False,1.3556293505571010859618461203
0.014,0.01,0.089,0.026,True,1.3555985108505569108913192624
