StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.04,0.05,0.02,0.001,False,0.9174556886315114036245660985
0.03,0.24,0.02,0.031,True,0.8256566302460245540680973097
0.03,0.22,0.02,0.021,True,0.8245917554817727370429490034
0.03,0.22,0.02,0.031,True,0.8182018448063047196478107983
0.03,0.20,0.02,0.021,False,0.7903686959931892075033356213
0.03,0.23,0.02,0.031,True,0.7767720520758114258884083101
0.03,0.22,0.02,0.021,False,0.7645399463305234134272679673
0.04,0.06,0.02,0.001,False,0.7619710782395757412301487116
0.03,0.20,0.02,0.031,True,0.7577427393228061611444957891
0.03,0.21,0.02,0.031,True,0.7485864844727629272091041407
0.03,0.23,0.02,0.021,True,0.7425229771678262104986487621
0.03,0.24,0.02,0.021,True,0.7329954554541899983001607126
0.03,0.05,0.02,0.011,False,0.7315468471012302503586743335
0.04,0.09,0.02,0.001,False,0.7273035954383242270107261962
0.03,0.23,0.02,0.021,False,0.7250053653627430331072220938
0.03,0.07,0.02,0.011,False,0.7167909679658283178560874939
0.03,0.24,0.02,0.011,False,0.6989461051899039082100596577
0.03,0.22,0.02,0.001,False,0.6983459766933769430615634874
0.03,0.06,0.02,0.011,False,0.6926227987619774056241060662
0.03,0.25,0.02,0.021,False,0.6900803507781263717724654089
0.04,0.05,0.02,0.028,False,0.6791745054164616006206001714
0.03,0.21,0.02,0.021,False,0.6719259881367731385816897288
0.03,0.08,0.02,0.028,False,0.6589093208563648022613439366
0.03,0.26,0.02,0.011,False,0.6580698848840989286399356859
0.03,0.02,0.02,0.011,False,0.6442267585902705109847905679
0.03,0.24,0.02,0.021,False,0.6436530447804693525087762802
0.03,0.28,0.02,0.001,False,0.6421885071076577876066540512
0.03,0.20,0.02,0.011,False,0.6362261402690759553278204865
0.03,0.25,0.02,0.031,True,0.6357336983581710508157349623
0.04,0.09,0.02,0.011,False,0.6271206560313130263874591923
0.03,0.27,0.02,0.011,False,0.6163919413508401861238469830
0.03,0.26,0.02,0.001,False,0.6163300745006759066725855627
0.03,0.26,0.02,0.031,True,0.6142928077710497370099397830
0.04,0.05,0.02,0.011,False,0.6066761096559912851583962897
0.03,0.16,0.02,0.031,True,0.5914736776343910424637461046
0.03,0.17,0.02,0.031,True,0.5840845446466887972129777063
0.03,0.03,0.02,0.011,False,0.5809108402167943494103490700
0.03,0.25,0.02,0.011,False,0.5704832033274016539463503443
0.03,0.08,0.02,0.021,False,0.5636241804274245019619420046
0.04,0.04,0.02,0.001,False,0.5610867308209193702464633383
