StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.02,0.02,0.03,0.001,False,1.8378372276932319330530056635
0.02,0.01,0.03,0.001,False,1.7491310476526561615590736145
0.02,0.03,0.03,0.001,False,1.7315669193980568164312477526
0.02,0.04,0.03,0.001,False,1.6443294715186237762521634572
0.03,0.06,0.04,0.011,False,1.5850989058842867379000841365
0.03,0,0.03,0.028,False,1.5757119143023949693286534461
0.04,0.12,0.04,0.011,False,1.5663209567624011620458496878
0.03,0.07,0.04,0.011,False,1.5498436356014518793488008150
0.03,0.01,0.03,0.028,False,1.5416205787799601595634325916
0.03,0.08,0.04,0.011,False,1.5165177468040273157761143219
0.03,0,0.03,0.011,False,1.5033628041455903229272546082
0.02,0.02,0.03,0.011,False,1.4750697725517087495661008492
0.03,0.03,0.04,0.011,False,1.4630955434167557746471559238
0.03,0,0.04,0.001,False,1.4525193454445769232786318176
0.02,0.04,0.04,0.011,False,1.4513014116375317759165234818
0.03,0.10,0.04,0.011,False,1.4252892634763881192418861931
0.03,0.13,0.04,0.011,False,1.4145098981378873438464360380
0.03,0.03,0.03,0.028,False,1.4052572067442881740913258608
0.03,0.12,0.03,0.011,False,1.4029571176810137520272114287
0.03,0.04,0.03,0.028,False,1.4013700242292493870412128117
0.03,0.06,0.03,0.028,False,1.3944038330844709866768026538
0.03,0.11,0.04,0.011,False,1.3888368850524069918754680195
0.03,0.05,0.04,0.011,False,1.3881137086069036636347509043
0.03,0.12,0.04,0.011,False,1.3880064878040451388914520561
0.03,0.01,0.03,0.011,False,1.3824641447004728443544002202
0.03,0,0.04,0.028,False,1.3754651519801931115729462149
0.03,0.03,0.04,0.021,False,1.3689636795309353740148089654
0.03,0.08,0.03,0.011,False,1.3683679106374776759950244663
0.02,0.03,0.03,0.011,False,1.3645991066198374892062044455
0.03,0.10,0.05,0.011,False,1.3539681763334237527831648281
0.02,0.01,0.03,0.011,False,1.3531124579080586921810998730
0.03,0.01,0.04,0.011,False,1.3514172460338760147771768937
0.04,0,0.03,0.011,False,1.3442333870291695464355077877
0.03,0.07,0.03,0.028,False,1.3440844212435200757442338674
0.02,0.04,0.03,0.011,False,1.3343568471853933550152249742
0.03,0.02,0.04,0.011,False,1.3329462550195350432825916838
0.03,0.08,0.03,0.028,False,1.3328449606363076984934949261
0.02,0,0.03,0.001,False,1.3252922335774757844067092993
0.03,0.11,0.03,0.011,False,1.3223961531757175869987810971
0.03,0.09,0.03,0.028,False,1.3059171187356626227967028772
0.04,0.01,0.06,0.028,False,1.3039856704057868726160276100
0.02,0.05,0.03,0.001,False,1.3033873743447278688174238109
0.02,0.03,0.04,0.011,False,1.2973823916177801849603691016
0.04,0.12,0.04,0.001,False,1.2874814136014129604356038146
0.04,0,0.03,0.028,False,1.2800144496732970572426206079
0.03,0.07,0.03,0.011,False,1.2738120350028101432113491938
0.03,0.04,0.04,0.011,False,1.2674521405394904525891948522
0.03,0.02,0.03,0.028,False,1.2621665462103618068994373601
0.02,0.06,0.03,0.001,False,1.2558969097268587736702355509
0.03,0.02,0.03,0.011,False,1.2552904966825068437008269900
0.03,0.09,0.04,0.011,False,1.2549986567387897740077439324
0.03,0,0.04,0.011,False,1.2500488922179776871639798498
0.03,0.06,0.03,0.011,False,1.2371332813851279105247066472
0.03,0.04,0.04,0.021,False,1.2332889892763418115492988868
0.03,0.03,0.03,0.011,False,1.2305441859414262008920840500
0.04,0.13,0.04,0.011,False,1.2298096246854739575602622762
0.02,0.03,0.04,0.028,False,1.2239425212161412483579413337
0.03,0.05,0.03,0.011,False,1.2168172782641988991218065220
0.03,0,0.04,0.001,True,1.2152251718440970380817769391
0.04,0,0.06,0.028,False,1.2126926237137175350880048097
0.03,0.11,0.03,0.001,False,1.2090722662374519617351242449
0.03,0.13,0.03,0.011,False,1.2033565956677033023010171746
0.04,0.18,0.03,0.001,False,1.2006767276893176190103106087
0.03,0.05,0.03,0.028,False,1.1947751980031313053289187198
0.03,0.04,0.03,0.011,False,1.1786166590159561341406406583
0.03,0.03,0.04,0.028,False,1.1635071789327914943871059456
0.03,0.05,0.04,0.021,False,1.1623832732421531920593746324
0.03,0.17,0.04,0.011,False,1.1545357728198887551670769938
0.04,0,0.03,0.001,False,1.1544102804472776639547234874
0.02,0.02,0.04,0.011,False,1.1511489375537253677423130997
0.03,0.01,0.04,0.001,False,1.1504539517560785771323918560
0.03,0.10,0.03,0.011,False,1.1495389725498607762885181210
0.02,0.07,0.03,0.001,False,1.1492933509458748981024950956
0.02,0.09,0.03,0.001,False,1.1451024947507953832814668740
0.03,0.01,0.04,0.021,False,1.1448246360366598439857024678
0.02,0.01,0.04,0.001,False,1.1417123433351766396061381908
0.03,0.02,0.04,0.021,False,1.1416626933077061367440682850
0.04,0,0.03,0.021,False,1.1393585233538700922081987029
0.04,0.18,0.03,0.028,False,1.1392645359227320895986950422
0.02,0.05,0.04,0.011,False,1.1371716040845547885812590425
0.03,0.06,0.04,0.021,False,1.1365807398800071856438715360
0.02,0.05,0.03,0.011,False,1.1357122270881359189538800892
0.03,0.04,0.05,0.021,False,1.1342506622727324724330625058
0.03,0.04,0.05,0.028,False,1.1330879822560352146873516568
0.04,0.12,0.04,0.031,False,1.1329453212100393815511962352
0.03,0.02,0.04,0.001,False,1.1318442749676216188286729510
0.03,0.08,0.03,0.001,False,1.1277141945140253012719833206
0.04,0.09,0.03,0.028,False,1.1275775313388501338102483805
0.03,0.13,0.05,0.011,False,1.1214767957419467391190363474
0.03,0,0.03,0.001,False,1.1179479291157562575796267021
0.03,0.11,0.05,0.011,False,1.1159339245531616179122435775
0.02,0.08,0.03,0.001,False,1.1088467412070455824256997822
0.03,0.14,0.05,0.011,False,1.1074802774491253719272991737
0.04,0.12,0.04,0.028,False,1.1071428329946306956638486703
0.03,0.11,0.03,0.028,False,1.1032373253123923085991650406
0.03,0.10,0.03,0.028,False,1.0988051859340082733036705216
0.03,0.10,0.03,0.001,False,1.0941731750620394023706668273
0.03,0.07,0.04,0.021,False,1.0919056476435907986368886154
0.02,0.06,0.04,0.011,False,1.0873257526383167013665505326
0.03,0.09,0.03,0.011,False,1.0752202668543879502285551360
