StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.03,0.028,0.001,False,1.9458348386962637329719337582
0.028,0.05,0.028,0.001,False,1.9444756483570350105954094246
0.028,0.02,0.030,0.001,False,1.9318382113791864899785426517
0.026,0.02,0.030,0.001,False,1.9210095457974879540588680338
0.028,0.03,0.028,0.001,False,1.8996127414541493058072867060
0.028,0.04,0.028,0.001,False,1.8887147930789017633549578708
0.026,0.02,0.027,0.006,False,1.8780619264829756366114316276
0.028,0.06,0.028,0.001,False,1.8697183383857635609878514164
0.028,0.02,0.028,0.001,False,1.8642954221226409105024133293
0.029,0.02,0.028,0.001,False,1.8480722579009608010790834709
0.027,0.03,0.028,0.001,False,1.8424634054447868199041181210
0.026,0.02,0.028,0.001,False,1.8409004366824359722234564435
0.026,0.04,0.030,0.001,False,1.8383143739224071117240893793
0.027,0.04,0.028,0.001,False,1.8340666755540137021681298538
0.022,0.01,0.030,0.030,True,1.8336237123103510597533252777
0.025,0.02,0.029,0.001,False,1.8327196296154413289749904252
0.026,0,0.026,0.006,False,1.8310186065447683943012014234
0.028,0.07,0.028,0.001,False,1.8248932092809178174712234488
0.029,0.03,0.028,0.001,False,1.8213288779973638346496499994
0.028,0.03,0.029,0.002,False,1.8107295636966177462744245749
0.025,0.03,0.029,0.001,False,1.8081678836858049212638708865
0.026,0.03,0.030,0.001,False,1.8070245813348951841269110061
0.027,0.03,0.030,0.001,False,1.8005633563129430774182018672
0.027,0.02,0.030,0.001,False,1.7994084168555688076651435109
0.026,0.02,0.029,0.008,False,1.7908020755878975602904683091
0.027,0.02,0.026,0.006,False,1.7886924084575872765184919490
0.026,0,0.026,0.005,False,1.7876520307527843448700751510
0.026,0.02,0.029,0.010,False,1.7866782281103021709796013917
0.026,0.02,0.026,0.013,False,1.7864667611046609594337684393
0.028,0.02,0.029,0.002,False,1.7845493579982492302391472493
0.028,0.04,0.029,0.002,False,1.7829956379968597782412072768
0.029,0.05,0.028,0.001,False,1.7829279656569972022655759515
0.025,0.04,0.029,0.001,False,1.7802955928280334222829731475
0.025,0.02,0.030,0.030,True,1.7792071358880722628410615824
0.034,0.04,0.030,0.027,False,1.7760091970462913205943860047
0.027,0.04,0.030,0.001,False,1.7705207400269545293250392360
0.026,0.02,0.027,0.008,False,1.7693082042103243131797820201
0.027,0.05,0.028,0.001,False,1.7690170646948149321606686586
