StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.06,0.144,0.016,False,1.4882634031632729160394861459
0.020,0.07,0.144,0.016,False,1.4777148213303500253946386063
0.017,0.05,0.143,0.015,False,1.4458902332916711138055397121
0.017,0.05,0.144,0.015,False,1.4458902332916711138055397121
0.015,0,0.144,0.016,False,1.4277229465870298348548704356
0.016,0.05,0.143,0.015,False,1.4270242046909932234723606409
0.016,0.05,0.144,0.015,False,1.4270242046909932234723606409
0.020,0.06,0.143,0.015,False,1.4199091663741477314626604578
0.020,0.06,0.144,0.015,False,1.4199091663741477314626604578
0.019,0.05,0.143,0.015,False,1.4198709464601800584514305948
0.019,0.06,0.143,0.015,False,1.4134085308191962556851759758
0.020,0.07,0.143,0.015,False,1.4090200850222199415057135498
0.020,0.07,0.144,0.015,False,1.4090200850222199415057135498
0.019,0.07,0.143,0.015,False,1.4053466254819553209391566004
0.020,0.05,0.143,0.015,False,1.4012665986971928962529573706
0.015,0,0.143,0.015,False,1.3874019328714358146631042396
0.015,0,0.144,0.015,False,1.3874019328714358146631042396
0.020,0.08,0.143,0.015,False,1.3404920344764791030447984785
0.016,0,0.143,0.015,False,1.3304327422096593588153601373
0.016,0,0.144,0.015,False,1.3304327422096593588153601373
0.029,0,0.141,0.027,True,1.2972132997647528269015188056
0.029,0.01,0.141,0.027,True,1.2869699175082905456599596746
0.036,0.06,0.145,0.028,False,1.2848686400480897113687004349
0.017,0.05,0.142,0.014,False,1.2822279618445888072235939756
0.037,0.06,0.145,0.027,False,1.2653935146672927401140216558
0.037,0.06,0.146,0.026,False,1.2644332373210725928570732318
0.014,0.06,0.144,0.016,False,1.2543400020086742297527849499
0.023,0,0.142,0.001,True,1.2537291802423837782573906722
0.018,0.06,0.144,0.016,False,1.2488192665620860548500463808
0.038,0.06,0.144,0.027,False,1.2479931477464243090895748781
0.038,0.06,0.145,0.026,False,1.2467474939630991006006335308
0.038,0.06,0.146,0.025,False,1.2455530840782814508770315355
0.014,0.07,0.144,0.016,False,1.2423460752615631216203448674
0.022,0.08,0.144,0.024,True,1.2405107431761284783628066893
0.022,0.08,0.141,0.007,False,1.2370495727629746208707546346
0.019,0.06,0.144,0.016,False,1.2368334778771798587513764961
0.019,0.05,0.142,0.014,False,1.2350248055142423283276699913
0.018,0.05,0.142,0.014,False,1.2314394380120352770826543341
0.019,0.06,0.142,0.014,False,1.2313809549541731846171818247
0.018,0,0.144,0.016,False,1.2311735554783243168198942004
0.019,0.07,0.144,0.016,False,1.2291500825153580752820434823
0.014,0.01,0.144,0.016,False,1.2286009592796129169130417133
0.016,0,0.144,0.016,False,1.2282150296612944408812609820
0.039,0.06,0.145,0.025,False,1.2278514105335935325370865961
0.018,0.06,0.142,0.014,False,1.2275444340600359965540565495
0.039,0.06,0.146,0.024,False,1.2266770023742079899921349594
0.025,0,0.141,0.016,True,1.2257754251999207101163470730
0.019,0.07,0.142,0.014,False,1.2257680070745859480398362930
0.020,0.04,0.142,0.014,False,1.2253820512914417822763839445
