StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0,0.085,0.024,True,1.7302025874936834552381989025
0.016,0.01,0.084,0.027,True,1.6499966061090000970449351678
0.016,0.01,0.085,0.027,True,1.6499966061090000970449351678
0.018,0.01,0.084,0.025,True,1.6484787656848153042569455092
0.017,0.01,0.084,0.025,True,1.6278141731444854220665115770
0.017,0.01,0.084,0.027,True,1.6257036996013843293370251035
0.017,0.01,0.085,0.027,True,1.6257036996013843293370251035
0.014,0.04,0.086,0.024,True,1.6202763216809259788686260086
0.016,0.01,0.086,0.027,True,1.6194611177545983258393871694
0.016,0.01,0.087,0.027,True,1.6194611177545983258393871694
0.016,0.01,0.084,0.026,True,1.6182997687788050640862457740
0.016,0.01,0.085,0.026,True,1.6182997687788050640862457740
0.014,0.05,0.086,0.024,True,1.6062789492514651394498608374
0.013,0.03,0.088,0.025,True,1.5992587204405495431860584610
0.015,0.04,0.086,0.025,True,1.5974282726526992822351237235
0.017,0.01,0.086,0.027,True,1.5951682112469825581314771051
0.014,0.06,0.086,0.024,True,1.5908262276846881672878988088
0.015,0.02,0.085,0.024,True,1.5903788202089308073566892007
0.015,0.05,0.086,0.025,True,1.5901031234594953833750393634
0.016,0.01,0.086,0.026,True,1.5877642804244032928806977756
0.014,0.02,0.086,0.024,True,1.5866232199022135407406321385
0.015,0.03,0.085,0.024,True,1.5816437414436673408629968784
0.015,0.06,0.086,0.025,True,1.5771551480806205158787033157
0.014,0.03,0.086,0.024,True,1.5769502461111891002013659120
0.014,0.03,0.088,0.026,True,1.5749882065024412916323896075
0.018,0.01,0.085,0.024,True,1.5722379005788282707267934757
0.019,0.01,0.084,0.025,True,1.5701333750688581106993731536
0.013,0.01,0.088,0.025,True,1.5643286837373435356712538136
0.015,0.07,0.086,0.025,True,1.5622986744489398315033141502
0.013,0.02,0.088,0.025,True,1.5602406803445361096205707997
0.018,0.02,0.084,0.025,True,1.5505949445693240276658024616
0.015,0.05,0.085,0.024,True,1.5464395733883505530267387074
0.031,0.14,0.081,0.028,True,1.5444275791900469624820600229
0.018,0.01,0.084,0.027,True,1.5421367546517128709235332525
0.018,0.01,0.085,0.027,True,1.5421367546517128709235332525
0.014,0.01,0.088,0.026,True,1.5419296758786516192169075613
0.016,0.01,0.084,0.028,True,1.5414621762503378676155005815
0.014,0.02,0.088,0.026,True,1.5378370204470179352798745031
0.016,0.05,0.085,0.025,True,1.5358252634494766545327503576
0.015,0.06,0.085,0.024,True,1.5332059243804237906644229142
0.017,0.01,0.084,0.026,True,1.5296935939812792249126952144
0.017,0.01,0.085,0.026,True,1.5296935939812792249126952144
0.016,0.06,0.085,0.025,True,1.5269400697415927358790688295
0.015,0.03,0.087,0.027,True,1.5253775304897076417095182742
0.015,0.02,0.086,0.025,True,1.5245570368823687058736857327
0.015,0.07,0.085,0.024,True,1.5186488549232570047420286144
0.016,0,0.085,0.024,True,1.5185884345620181400084983412
0.015,0.03,0.086,0.025,True,1.5170096445279417445331661405
0.019,0.01,0.085,0.024,True,1.5147844047316709266134320965
0.016,0.07,0.085,0.025,True,1.5142903802846105132610420662
0.015,0.05,0.085,0.025,True,1.5121126541345847122925881906
0.014,0.03,0.087,0.024,True,1.5119215462026305727495485260
0.013,0.03,0.087,0.024,True,1.5114308011488917393477193066
0.018,0.03,0.084,0.025,True,1.5095743655550473390621031303
0.014,0.04,0.087,0.024,True,1.5046667036978595598835155277
0.013,0.04,0.087,0.024,True,1.5036306924011272817487369464
0.015,0.04,0.085,0.024,True,1.5029034706151557041737412962
0.018,0,0.085,0.024,True,1.5018780903124112418048678495
0.016,0.08,0.085,0.025,True,1.5006890509471809626795894656
0.015,0.06,0.085,0.025,True,1.5006112806571398861241697963
0.019,0.01,0.083,0.026,True,1.4977893129529205337289718381
0.016,0.03,0.084,0.025,True,1.4955060732938137124643526662
0.037,0.19,0.081,0.029,False,1.4944709646158492483142110900
0.015,0.03,0.087,0.026,True,1.4912390035215010753475092545
0.014,0.05,0.087,0.024,True,1.4906454040494741693713748293
0.014,0,0.086,0.024,True,1.4902428794302668618486792376
0.015,0.01,0.085,0.024,True,1.4895329359364886141099183292
0.013,0.05,0.087,0.024,True,1.4890440923088392553337204277
0.016,0.03,0.087,0.027,True,1.4886486910144134224028365603
0.019,0.01,0.084,0.027,True,1.4885239807969413179334136512
0.020,0.06,0.144,0.016,False,1.4882634031632729160394861459
0.015,0.02,0.086,0.027,True,1.4881870802667937611992009551
0.015,0.02,0.087,0.027,True,1.4881870802667937611992009551
0.018,0.05,0.085,0.024,True,1.4879439989464054968949233764
0.015,0.07,0.085,0.025,True,1.4872045678421902984973927619
0.017,0.01,0.085,0.025,True,1.4865322250325555493465564627
0.017,0.01,0.084,0.028,True,1.4864559395340045720674867058
0.017,0.09,0.089,0.024,True,1.4861586180484145580803685605
0.016,0.04,0.084,0.025,True,1.4856667384549177776554217693
0.018,0.01,0.085,0.025,True,1.4855933010245284787480911263
0.015,0,0.086,0.025,True,1.4849545778457638955916575470
0.025,0.12,0.133,0.019,False,1.4837929509358480126988436944
0.015,0.04,0.087,0.025,True,1.4795061069020570883767548901
0.014,0.03,0.087,0.025,True,1.4786406073992511856815381681
0.020,0.07,0.144,0.016,False,1.4777148213303500253946386063
0.019,0.06,0.084,0.025,True,1.4771411342595268457797783364
0.015,0,0.086,0.024,True,1.4762222726060157560728550203
0.014,0.06,0.087,0.024,True,1.4752166097016217483027883279
0.013,0.01,0.087,0.024,True,1.4744302103092701580342514107
0.018,0.06,0.085,0.024,True,1.4739633147865813714497946153
0.016,0.03,0.085,0.025,True,1.4736019826076882771571186676
0.016,0.01,0.088,0.027,True,1.4725192423674084643463064853
0.018,0.01,0.084,0.026,True,1.4723956858970213194656140677
0.015,0.05,0.087,0.025,True,1.4721516137562213672838520503
0.014,0.04,0.087,0.025,True,1.4717611860703556614298592156
0.014,0.02,0.087,0.024,True,1.4710136019191471217555216576
0.017,0.01,0.087,0.025,True,1.4705186404686422641964615725
0.017,0.01,0.088,0.025,True,1.4705186404686422641964615725
0.013,0.02,0.087,0.024,True,1.4704806525811986578970588540
0.015,0.04,0.085,0.025,True,1.4684337788379557911014924150
0.019,0.02,0.084,0.025,True,1.4683339190687155988050504183
0.005,0.11,0.107,0.015,True,1.4665267795283130349396006042
0.005,0.11,0.108,0.015,True,1.4665267795283130349396006042
0.018,0.01,0.084,0.028,True,1.4664069419290172427760584362
0.019,0.01,0.084,0.028,True,1.4654078336486840033498217250
0.019,0.07,0.084,0.025,True,1.4640524945203276601441800169
0.016,0.04,0.085,0.025,True,1.4632127824799383298849435078
0.018,0.01,0.088,0.025,True,1.4622546512411851414928343127
0.015,0.06,0.087,0.025,True,1.4592329823299783220203344823
