StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.018,0.21,0.091,0.021,False,1.4303288427531021701846493907
0.012,0.03,0.091,0.013,True,1.4069848955540438805272719900
0.012,0.04,0.091,0.013,True,1.3989499504178577857788471503
0.007,0,0.091,0.013,True,1.3958247006668666056421190133
0.007,0,0.092,0.013,True,1.3958247006668666056421190133
0.007,0,0.093,0.013,True,1.3958247006668666056421190133
0.018,0.20,0.091,0.021,False,1.3511965106203035244874810114
0.016,0,0.091,0.028,True,1.3484738820391554218704597053
0.012,0.01,0.091,0.013,True,1.3434675709878659433935133698
0,0.08,0.097,0.015,True,1.3375703569822505057216913534
0.012,0.02,0.091,0.013,True,1.3314169965054205428038341637
0.006,0.07,0.094,0.013,True,1.3174704806058834670832297095
0,0.08,0.099,0.015,True,1.3136291317130417444229600369
0.007,0,0.094,0.012,True,1.3100048034540415867870894101
0.009,0.09,0.097,0.013,True,1.2957143885005940323276660824
0.013,0.04,0.091,0.013,True,1.2926614134908307098966960243
0.015,0,0.091,0.027,True,1.2917750700329738264574135987
0,0.08,0.098,0.015,True,1.2899613305312905211418368773
0.017,0.09,0.091,0.024,True,1.2890254487726078021177346230
0.016,0,0.091,0.027,True,1.2870307909399441732543712821
0.006,0.06,0.098,0.007,True,1.2863663689281902800454799761
0.006,0.06,0.099,0.007,True,1.2863663689281902800454799761
0,0.09,0.097,0.015,True,1.2848713992243100375805389638
0.006,0.01,0.091,0.013,True,1.2847652307154204413908457453
0.006,0.02,0.091,0.013,True,1.2804989184238327381092341950
0.006,0.01,0.092,0.013,True,1.2796332877594314597816877720
0.006,0.01,0.093,0.013,True,1.2796332877594314597816877720
0.006,0.02,0.092,0.013,True,1.2743409834595188425829721668
0.006,0.02,0.093,0.013,True,1.2743409834595188425829721668
0.006,0.03,0.091,0.013,True,1.2742062045564354042711603979
0.018,0.01,0.091,0.027,True,1.2729773137264840543416076730
0.002,0.16,0.092,0.021,True,1.2698621262830105657658566663
0.002,0.16,0.093,0.021,True,1.2698621262830105657658566663
0.016,0,0.091,0.026,True,1.2698536916828021288033926054
0.006,0.07,0.098,0.007,True,1.2693680817887060555970377122
0.006,0.07,0.099,0.007,True,1.2693680817887060555970377122
0.006,0.03,0.092,0.013,True,1.2680678479433514315399483520
0.006,0.03,0.093,0.013,True,1.2680678479433514315399483520
0.013,0.03,0.091,0.013,True,1.2650145126023562259054580017
0.015,0,0.091,0.026,True,1.2620052762829123629577257692
0.013,0.05,0.091,0.013,True,1.2594071468215250293661752774
0.006,0.04,0.092,0.013,True,1.2590318112508314112886940859
0.006,0.04,0.093,0.013,True,1.2590318112508314112886940859
0.017,0.01,0.091,0.026,True,1.2589931778097671620674533474
0,0.11,0.097,0.015,True,1.2573753963643641497658153934
0.006,0.04,0.091,0.013,True,1.2570275261619681999832497904
0.013,0.01,0.091,0.013,True,1.2563575356426423403323508880
0.006,0,0.091,0.013,True,1.2552266422824646273814724403
0,0.13,0.094,0.022,True,1.2517380768093612237489607111
0.006,0,0.092,0.013,True,1.2511061587691372071637535775
0.006,0,0.093,0.013,True,1.2511061587691372071637535775
0.013,0.02,0.091,0.013,True,1.2503387667461645137976006168
0.006,0.08,0.098,0.007,True,1.2491101164690245649224710061
0.006,0.05,0.092,0.013,True,1.2483507870957048365304263358
0.006,0.05,0.093,0.013,True,1.2483507870957048365304263358
0.002,0.13,0.092,0.021,True,1.2475777759068715003220587428
0.002,0.13,0.093,0.021,True,1.2475777759068715003220587428
0.007,0.01,0.093,0.013,True,1.2465896060300037207807410327
0.006,0.05,0.091,0.013,True,1.2453017203887352033779316481
0,0.09,0.098,0.015,True,1.2432636125039581630689926358
0,0.09,0.099,0.015,True,1.2432636125039581630689926358
0.014,0.03,0.091,0.026,True,1.2432518333732273196384758019
0.014,0.04,0.091,0.026,True,1.2430390397536119018664635830
0.007,0.02,0.093,0.013,True,1.2424557754072700129906297368
0.009,0.09,0.100,0.004,False,1.2412903415111341094314739793
0.014,0.05,0.091,0.026,True,1.2364366562965252809216537237
0.015,0.04,0.091,0.027,True,1.2349891410437770766189526576
0.006,0.01,0.094,0.013,True,1.2348595036110970583568601161
0.007,0.03,0.093,0.013,True,1.2344372408895804211014348178
0.006,0.02,0.094,0.013,True,1.2295671993111844411581445109
0.018,0.01,0.091,0.024,True,1.2294752853033074038897105565
0.015,0.05,0.091,0.027,True,1.2288094614620166011021474602
0.007,0.04,0.093,0.013,True,1.2247856194004233535277326827
0.020,0.19,0.091,0.013,False,1.2242968472230281556059575775
0.012,0.10,0.100,0.023,True,1.2241583372163114727929365021
0.014,0.06,0.091,0.026,True,1.2240699998985957077932301147
0.002,0.14,0.092,0.021,True,1.2237478723048508117532375920
0.002,0.14,0.093,0.021,True,1.2237478723048508117532375920
0.019,0.01,0.091,0.027,True,1.2209989084210640708010921957
0.006,0.03,0.094,0.013,True,1.2196978700527370111405452163
0.007,0.07,0.099,0.015,True,1.2192400582594130778333748116
0,0.14,0.094,0.022,True,1.2167688895383314998158578644
0.015,0.06,0.091,0.027,True,1.2167370797968336155380590722
0.012,0.11,0.100,0.023,True,1.2142712597960251470140560951
0.015,0.08,0.091,0.027,True,1.2115275444473132387938209240
0,0.15,0.094,0.022,True,1.2107560179281085932514261181
0.006,0.08,0.094,0.013,True,1.2102469896614451299083122371
0,0.16,0.094,0.022,True,1.2078887444771516389623623119
0.006,0.04,0.094,0.013,True,1.2068689941152832049536705997
0.006,0,0.094,0.013,True,1.2063323746208028057389259216
0,0.17,0.094,0.022,True,1.2060228144398516212711096457
0.007,0.05,0.093,0.013,True,1.2056249304265261727186651080
0.010,0.30,0.095,0.012,True,1.2053598770440628839609237883
0.014,0.07,0.091,0.026,True,1.2052281976974362445115700790
0.018,0.01,0.091,0.026,True,1.2040145158039785334224166988
0.010,0.30,0.095,0.013,True,1.2029350961106647341650761523
0.015,0.07,0.091,0.027,True,1.2029159737744121750610392406
0.015,0.04,0.091,0.026,True,1.2024528747087823355660944516
0.016,0.02,0.091,0.028,True,1.2004167176739350434713090191
0,0.08,0.094,0.022,True,1.1999951541609686656229039557
0.006,0.06,0.094,0.013,True,1.1998852195202963827287825972
0.007,0.01,0.091,0.013,True,1.1985048309027392494595487267
0.007,0.01,0.092,0.013,True,1.1985048309027392494595487267
0,0.18,0.094,0.022,True,1.1980917704367216236103016554
0.016,0.04,0.091,0.028,True,1.1968340422546308938264639698
0.005,0.10,0.099,0.015,True,1.1958447148180740880352732884
0.015,0.05,0.091,0.026,True,1.1957624173960265011866826203
0.016,0.03,0.091,0.028,True,1.1954242434060706486660546248
0.007,0.02,0.091,0.013,True,1.1943710002800055416694374308
0.007,0.02,0.092,0.013,True,1.1943710002800055416694374308
0.008,0.28,0.096,0.013,True,1.1932063093035162440739295381
0.006,0.09,0.094,0.013,True,1.1926772775955214284901162214
0.006,0.05,0.094,0.013,True,1.1917233325734395567642083785
0.007,0.06,0.093,0.013,True,1.1903828455812804366226215761
0.014,0.27,0.091,0.028,False,1.1886417277505529586702960308
0.007,0.03,0.091,0.013,True,1.1879710252060000857104953562
