StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.002,0.05,0.112,0.019,True,1.4844404153093072264767191385
0.002,0.06,0.112,0.019,True,1.4797707977235514351060184763
0.002,0.07,0.112,0.019,True,1.4729769269553563334218726849
0.002,0.03,0.112,0.019,True,1.4548947075070604658303461385
0.002,0.04,0.112,0.019,True,1.4512411209413346331427244772
0.023,0.10,0.119,0.027,False,1.3459118831931906157216608486
0.017,0.18,0.114,0.001,True,1.3340474796550220505663433493
0.001,0.05,0.112,0.019,True,1.3171024111054156534840436371
0,0.03,0.118,0.013,True,1.3144726931509096683359812372
0,0.03,0.119,0.013,True,1.3144726931509096683359812372
0,0.03,0.120,0.013,True,1.3144726931509096683359812372
0.001,0.06,0.112,0.019,True,1.3136353710138964073270434314
0.015,0.18,0.114,0.001,True,1.3059655390802858384707036598
0.016,0.18,0.114,0.001,True,1.3052810194707224496177969947
0.001,0.07,0.112,0.019,True,1.3015580390956250066423302945
0.018,0.18,0.114,0.001,True,1.2952330966573047177391431762
0.003,0.05,0.112,0.019,True,1.2935973808285762835109416579
0.003,0.06,0.112,0.019,True,1.2889261118802178983245299723
0.017,0.19,0.114,0.001,True,1.2877356444436587157667541421
0.001,0.03,0.112,0.019,True,1.2843552863364987154275090813
0.003,0.07,0.112,0.019,True,1.2821354046716419480323556275
0.001,0.04,0.112,0.019,True,1.2817547321599139642553629782
0.002,0.03,0.111,0.019,True,1.2760989435037753351797670275
0,0.04,0.118,0.013,True,1.2757118476380272568973783830
0,0.04,0.119,0.013,True,1.2757118476380272568973783830
0,0.04,0.120,0.013,True,1.2757118476380272568973783830
0.001,0.05,0.113,0.019,True,1.2753530322423569323006492880
0.001,0.05,0.114,0.019,True,1.2753530322423569323006492880
0.001,0.05,0.115,0.019,True,1.2753530322423569323006492880
0.001,0.05,0.116,0.019,True,1.2753530322423569323006492880
0.001,0.05,0.117,0.019,True,1.2753530322423569323006492880
0.001,0.05,0.118,0.019,True,1.2753530322423569323006492880
0.018,0.16,0.114,0.024,False,1.2746816181328198994871419389
0.018,0.16,0.115,0.024,False,1.2746816181328198994871419389
0.018,0.16,0.116,0.024,False,1.2746816181328198994871419389
0.002,0.05,0.111,0.019,True,1.2727627543300663208709605751
0.002,0.04,0.111,0.019,True,1.2724453569380495024921453662
0.001,0.06,0.113,0.019,True,1.2718859921508376861436490823
0.001,0.06,0.114,0.019,True,1.2718859921508376861436490823
0.001,0.06,0.115,0.019,True,1.2718859921508376861436490823
0.001,0.06,0.116,0.019,True,1.2718859921508376861436490823
0.001,0.06,0.117,0.019,True,1.2718859921508376861436490823
0.001,0.06,0.118,0.019,True,1.2718859921508376861436490823
0.002,0.06,0.111,0.019,True,1.2680931367443105295002599129
0.016,0.19,0.114,0.001,True,1.2679843062637062214408433504
0,0.05,0.118,0.013,True,1.2652197112913720741112503387
0,0.05,0.119,0.013,True,1.2652197112913720741112503387
0,0.05,0.120,0.013,True,1.2652197112913720741112503387
