StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.039,0.04,0.064,0.015,False,1.2364617300748796285580287299
0.039,0.03,0.064,0.038,True,1.2305048563985326560164670850
0.039,0.04,0.063,0.038,True,1.2293493802811801042270954712
0.039,0.04,0.064,0.038,True,1.2209331333868358410420379027
0.039,0.05,0.062,0.038,True,1.2196514316211172159526383179
0.039,0.05,0.063,0.038,True,1.2196514316211172159526383179
0.039,0.04,0.063,0.039,True,1.2185118154717581467396477982
0.039,0.05,0.062,0.039,True,1.2168030070457120081496200348
0.040,0.04,0.063,0.038,True,1.2153667195263462625774958215
0.039,0.06,0.061,0.038,True,1.2097751992215642042791485259
0.039,0.05,0.063,0.039,True,1.2076666482918845147653323742
0.039,0.06,0.061,0.039,True,1.2073375882115269297068265098
0.039,0.06,0.062,0.039,True,1.2073375882115269297068265098
0.040,0.05,0.062,0.038,True,1.2059706151735766680076489049
0.040,0.05,0.063,0.038,True,1.2059706151735766680076489049
0.039,0.06,0.061,0.040,True,1.2044817264370638611471148001
0.040,0.04,0.063,0.039,True,1.2044806960462604131383535295
0.040,0.05,0.062,0.039,True,1.2031187555738688933454866810
0.037,0.02,0.064,0.019,False,1.2019252866738080767282897820
0.037,0.02,0.062,0.017,False,1.1997161398803841223524792577
0.037,0.02,0.063,0.017,False,1.1997161398803841223524792577
0.030,0.10,0.035,0.013,False,1.1986521758155240920196437256
0.040,0.06,0.061,0.038,True,1.1960927703047588746053272125
0.037,0.03,0.064,0.019,False,1.1958038983035691453321618675
0.040,0.05,0.063,0.039,True,1.1939388522142262789409544484
0.039,0.07,0.061,0.040,True,1.1936634952839810615256547058
0.040,0.06,0.061,0.039,True,1.1936517242704190331738612556
0.040,0.06,0.062,0.039,True,1.1936517242704190331738612556
0.037,0.02,0.062,0.016,False,1.1929418665492605833796515002
0.040,0.06,0.061,0.040,True,1.1910560510733443585572286120
0.037,0.03,0.062,0.017,False,1.1910337956407758067658198837
0.037,0.03,0.063,0.017,False,1.1910337956407758067658198837
0.028,0.05,0.041,0.013,False,1.1896718455845118030824285052
0.037,0.04,0.064,0.019,False,1.1896115110795889390638089605
0.037,0.06,0.064,0.019,False,1.1883389856874457251130368506
0.037,0.03,0.062,0.016,False,1.1842596475856908876824952449
0.039,0.05,0.062,0.040,True,1.1837294641819337446235843130
0.037,0.05,0.064,0.019,False,1.1818202293477205804661964140
0.037,0.04,0.062,0.017,False,1.1815685255205754802238080140
0.037,0.04,0.063,0.017,False,1.1815685255205754802238080140
0.037,0.02,0.064,0.017,False,1.1812648310407260572689701996
0.040,0.07,0.061,0.040,True,1.1801345250208545780648543127
0.040,0.01,0.065,0.013,False,1.1800663776331225235683436312
0.028,0.05,0.041,0.012,False,1.1800129170378395491691020724
0.040,0.01,0.066,0.013,False,1.1799481381458710776107077153
0.038,0.02,0.064,0.019,False,1.1794764542861270715042967220
0.037,0.07,0.064,0.019,False,1.1784955267330111087373411003
0.027,0.01,0.062,0.027,False,1.1772621984617954405539946319
0.038,0.02,0.062,0.017,False,1.1762724281208201676174419342
0.038,0.02,0.063,0.017,False,1.1762724281208201676174419342
0.037,0.04,0.062,0.016,False,1.1747939633412051329066043785
0.037,0.02,0.063,0.016,False,1.1744819474353174505960003724
0.037,0.02,0.064,0.016,False,1.1744819474353174505960003724
0.038,0.02,0.063,0.018,False,1.1744229550036476212707318936
0.038,0.02,0.064,0.018,False,1.1744229550036476212707318936
0.037,0.03,0.064,0.017,False,1.1741016147953752700318085797
0.039,0.06,0.062,0.040,True,1.1740271168900482524676127173
0.038,0.03,0.064,0.019,False,1.1733541369376380566631838363
0.039,0.01,0.064,0.019,False,1.1733506316196905398830308156
0.040,0.12,0.064,0.038,True,1.1721847409636658659292601969
0.026,0.02,0.041,0.012,False,1.1718221751435774806168139171
0.040,0.05,0.062,0.040,True,1.1703054012874790237625300253
0.037,0.05,0.062,0.017,False,1.1700276659838952927108644492
0.037,0.05,0.063,0.017,False,1.1700276659838952927108644492
0.038,0.02,0.061,0.016,False,1.1693640504505854433688072934
0.038,0.02,0.062,0.016,False,1.1693640504505854433688072934
0.039,0.01,0.063,0.018,False,1.1683491976401347815134168354
0.039,0.01,0.064,0.018,False,1.1683491976401347815134168354
0.038,0.03,0.063,0.018,False,1.1683006376551586064296190079
0.038,0.03,0.064,0.018,False,1.1683006376551586064296190079
0.038,0.03,0.062,0.017,False,1.1675845999300572098915363073
0.038,0.03,0.063,0.017,False,1.1675845999300572098915363073
0.037,0.08,0.064,0.019,False,1.1673718279475053242605094627
0.037,0.03,0.063,0.016,False,1.1673195621567803764932802436
0.037,0.03,0.064,0.016,False,1.1673195621567803764932802436
0.038,0.04,0.064,0.019,False,1.1671608219364954147082966689
0.025,0.02,0.041,0.012,False,1.1666960348469128131026988122
0.038,0.06,0.064,0.019,False,1.1662878624974141357415419439
0.037,0.04,0.064,0.017,False,1.1658507665086083713945963460
0.038,0,0.061,0.021,True,1.1648614824036663595980299719
0.038,0,0.062,0.021,True,1.1648614824036663595980299719
0.038,0,0.063,0.021,True,1.1648614824036663595980299719
0.037,0.05,0.062,0.016,False,1.1636965116781025362810684291
0.040,0.13,0.064,0.038,True,1.1636884840240607805590411076
0.026,0.03,0.041,0.012,False,1.1631207689018151765342248975
0.038,0.02,0.061,0.015,False,1.1625661584414275346905289945
0.040,0.02,0.066,0.015,False,1.1625523050309870320053623152
0.038,0.04,0.063,0.018,False,1.1621073226540159644747318405
0.038,0.04,0.064,0.018,False,1.1621073226540159644747318405
0.031,0.10,0.035,0.013,False,1.1620971618284048841667039857
0.040,0.13,0.063,0.039,True,1.1619119066738597207366779248
0.040,0.13,0.064,0.039,True,1.1619119066738597207366779248
0.038,0.06,0.064,0.018,False,1.1612348695257097082527032770
0.038,0.03,0.061,0.016,False,1.1606763475358611055324047852
0.038,0.03,0.062,0.016,False,1.1606763475358611055324047852
0.040,0.06,0.062,0.040,True,1.1606014415263287498777265292
0.040,0.13,0.064,0.040,True,1.1603291009725909536718760124
0.040,0.01,0.064,0.013,False,1.1595610494970502625471596663
0.038,0.05,0.064,0.019,False,1.1595418664569430215525897261
0.037,0.04,0.063,0.016,False,1.1590688642983481242181397112
0.037,0.04,0.064,0.016,False,1.1590688642983481242181397112
0.039,0.04,0.064,0.019,False,1.1588800566865264377506375558
0.038,0.04,0.062,0.017,False,1.1581144296285669399717185486
0.038,0.04,0.063,0.017,False,1.1581144296285669399717185486
0.039,0.01,0.062,0.017,False,1.1580135598953883982670140033
0.039,0.01,0.063,0.017,False,1.1580135598953883982670140033
0.038,0.02,0.064,0.017,False,1.1578211192811621025339328761
0.027,0.01,0.063,0.027,False,1.1575865578207024490745853867
0.025,0.03,0.041,0.012,False,1.1574460897676718874557705138
0.038,0.07,0.064,0.019,False,1.1562131784514034800294853638
0.037,0.05,0.064,0.017,False,1.1558268358876181323606636241
0.040,0.14,0.064,0.038,True,1.1546995289986364892120324730
0.038,0.05,0.063,0.018,False,1.1544883671744635713190248977
0.038,0.05,0.064,0.018,False,1.1544883671744635713190248977
0.038,0.03,0.061,0.015,False,1.1543231956152163017301038637
0.028,0.01,0.062,0.027,False,1.1535038855636636720973799577
0.040,0.14,0.063,0.039,True,1.1530988284400672141314232631
0.040,0.14,0.064,0.039,True,1.1530988284400672141314232631
0.026,0.04,0.041,0.012,False,1.1530961745323427716987018045
0.039,0.01,0.061,0.016,False,1.1530886861540168899513662344
0.039,0.01,0.062,0.016,False,1.1530886861540168899513662344
0.039,0.04,0.063,0.018,False,1.1521085683414176277397756276
0.039,0.04,0.064,0.018,False,1.1521085683414176277397756276
0.040,0.14,0.063,0.040,True,1.1515171802140672377229634068
0.040,0.14,0.064,0.040,True,1.1515171802140672377229634068
0.038,0.04,0.061,0.016,False,1.1512057631100854073787080298
0.038,0.04,0.062,0.016,False,1.1512057631100854073787080298
0.038,0.07,0.063,0.018,False,1.1511613252488274178989597171
0.038,0.07,0.064,0.018,False,1.1511613252488274178989597171
0.038,0.02,0.063,0.016,False,1.1509041313366423105851561656
0.038,0.02,0.064,0.016,False,1.1509041313366423105851561656
0.038,0.03,0.064,0.017,False,1.1506524190846566731575250033
