StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.24,0.081,0.022,True,1.0051107360988050501965880454
0,0.24,0.082,0.022,True,1.0051107360988050501965880454
0,0.24,0.083,0.022,True,1.0051107360988050501965880454
0.034,0.01,0.089,0.029,False,0.9997870561636049105943009392
0.018,0.01,0.085,0.024,False,0.9987810475968887368474451878
0.001,0.24,0.084,0.022,True,0.9927435759760583931018162031
0.001,0.24,0.085,0.022,True,0.9927435759760583931018162031
0.018,0.01,0.083,0.024,False,0.9812728944361091258731666349
0.018,0.01,0.084,0.024,False,0.9812728944361091258731666349
0.018,0.01,0.081,0.024,False,0.9811440716752367997105267686
0.018,0.01,0.082,0.024,False,0.9811440716752367997105267686
0.001,0.25,0.084,0.022,True,0.9775378274358084249020087694
0.001,0.25,0.085,0.022,True,0.9775378274358084249020087694
0.024,0.08,0.109,0.001,False,0.9761165909407147659372922580
0.019,0.01,0.085,0.024,False,0.9726155584280430766473740271
0.034,0,0.085,0.029,False,0.9695908916290985801596129263
0.034,0,0.086,0.029,False,0.9695908916290985801596129263
0.001,0.24,0.090,0.022,True,0.9692811310785967491258869301
0.025,0.08,0.108,0.001,False,0.9674372589672237861752483607
0.034,0.01,0.084,0.029,False,0.9647828043712504185457809461
0.034,0.01,0.085,0.029,False,0.9647828043712504185457809461
0.034,0.01,0.086,0.029,False,0.9647828043712504185457809461
0.018,0.19,0.085,0.022,False,0.9605126733359647892493378523
0.002,0.09,0.107,0.015,True,0.9596610528368996022515600378
0.002,0.09,0.108,0.015,True,0.9596610528368996022515600378
0.002,0.09,0.109,0.015,True,0.9596610528368996022515600378
0.002,0.09,0.110,0.015,True,0.9596610528368996022515600378
0.030,0.16,0.124,0.027,False,0.9549897998246981984888547837
0.030,0.16,0.125,0.027,False,0.9549897998246981984888547837
0.030,0.16,0.126,0.027,False,0.9549897998246981984888547837
0.030,0.16,0.127,0.027,False,0.9549897998246981984888547837
0.030,0.16,0.128,0.027,False,0.9549897998246981984888547837
0.030,0.16,0.129,0.027,False,0.9549897998246981984888547837
0.030,0.16,0.130,0.027,False,0.9549684978332753739903546446
0.030,0.16,0.131,0.027,False,0.9549684978332753739903546446
0.030,0.16,0.132,0.027,False,0.9549684978332753739903546446
0.030,0.16,0.133,0.027,False,0.9549684978332753739903546446
0.019,0.01,0.083,0.024,False,0.9509078975360756975697366623
0.019,0.01,0.084,0.024,False,0.9509078975360756975697366623
0.019,0.01,0.081,0.024,False,0.9508027920949341252671436603
0.019,0.01,0.082,0.024,False,0.9508027920949341252671436603
0.035,0,0.085,0.029,False,0.9502586086939910262094975023
0.035,0,0.086,0.029,False,0.9502586086939910262094975023
0.002,0.10,0.107,0.015,True,0.9484913121174225714515671034
0.002,0.10,0.108,0.015,True,0.9484913121174225714515671034
0.002,0.10,0.109,0.015,True,0.9484913121174225714515671034
0.035,0,0.085,0.028,False,0.9472104785302486121663362443
