StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.013,0.01,0.134,0.016,True,1.5505324942479563485075583595
0.010,0.02,0.087,0.016,False,1.5064499227987579832425885865
0.010,0.02,0.086,0.016,False,1.5006636556021584599361164558
0.020,0,0.129,0.024,True,1.4457916271196916839742252003
0.012,0.02,0.089,0.015,False,1.4314856327825217884760418451
0.010,0.02,0.085,0.016,False,1.4195005155565707887363789160
0.020,0,0.143,0.018,False,1.4093957172700853343193750800
0.020,0,0.144,0.018,False,1.4093957172700853343193750800
0.012,0.01,0.089,0.015,False,1.4038875192306584601414610243
0.018,0.08,0.090,0.010,True,1.3933864582370414759923992146
0.011,0.01,0.088,0.016,False,1.3870123969600427347521898655
0.018,0.08,0.090,0.009,True,1.3802023919421999651518381298
0.020,0,0.140,0.018,False,1.3797245931761816648614594047
0.020,0,0.141,0.018,False,1.3797245931761816648614594047
0.020,0,0.142,0.018,False,1.3797245931761816648614594047
0.020,0,0.139,0.018,False,1.3796747241317497263020325122
0.012,0.01,0.088,0.016,False,1.3634461287554387017011031418
0.022,0.01,0.128,0.014,False,1.3582867195891235544462930725
0.011,0.01,0.087,0.016,False,1.3543911514978241691454129150
0.022,0.01,0.128,0.013,False,1.3540202023139792424895570157
0.028,0.04,0.124,0.025,True,1.3529018382424804935338195929
0.028,0.04,0.125,0.025,True,1.3529018382424804935338195929
0.028,0.04,0.124,0.024,True,1.3517719673681302314740023442
0.028,0.04,0.125,0.024,True,1.3517719673681302314740023442
0.028,0.04,0.124,0.023,True,1.3512420948881026633714217569
0.028,0.04,0.125,0.023,True,1.3512420948881026633714217569
0.028,0.04,0.124,0.022,True,1.3508670084881214861190710046
0.028,0.04,0.125,0.022,True,1.3508670084881214861190710046
0.028,0.04,0.124,0.021,True,1.3506101117444957002911726055
0.028,0.04,0.125,0.021,True,1.3506101117444957002911726055
0.028,0.04,0.124,0.020,True,1.3503811517928241904830872486
0.028,0.04,0.125,0.020,True,1.3503811517928241904830872486
0.004,0.02,0.081,0.015,True,1.3419073288201901870656757607
0.027,0.04,0.124,0.020,True,1.3401632125405493279717617056
0.027,0.04,0.125,0.020,True,1.3401632125405493279717617056
0.031,0.05,0.123,0.030,True,1.3358148932359077297916556334
0.031,0.05,0.122,0.029,True,1.3333927541993592222831226047
0.031,0.05,0.123,0.029,True,1.3333927541993592222831226047
0.031,0.05,0.122,0.028,True,1.3313997626289928193008314350
0.031,0.05,0.123,0.028,True,1.3313997626289928193008314350
0.023,0.01,0.128,0.014,False,1.3312390856772222951249798750
0.031,0.05,0.122,0.027,True,1.3294817500815256297679009499
0.031,0.05,0.123,0.027,True,1.3294817500815256297679009499
0.012,0.01,0.087,0.016,False,1.3291920165718314918234259966
0.031,0.05,0.122,0.026,True,1.3276286076122645670518505179
0.031,0.05,0.123,0.026,True,1.3276286076122645670518505179
0.023,0.01,0.128,0.013,False,1.3272689673149216415118183457
0.004,0.06,0.113,0.009,True,1.3257627782544979627533715841
0.031,0.05,0.122,0.025,True,1.3253571139452370943189296262
0.031,0.05,0.123,0.025,True,1.3253571139452370943189296262
0.031,0.05,0.122,0.024,True,1.3232046653155852728884534442
0.031,0.05,0.123,0.024,True,1.3232046653155852728884534442
0.013,0.01,0.126,0.015,True,1.3230370421192528909558307865
0.013,0.01,0.127,0.015,True,1.3230370421192528909558307865
0.013,0.01,0.128,0.015,True,1.3230370421192528909558307865
0.031,0.05,0.122,0.023,True,1.3215536772731368963196076347
0.031,0.05,0.123,0.023,True,1.3215536772731368963196076347
0.031,0.05,0.122,0.022,True,1.3206910322236461679892874864
0.031,0.05,0.123,0.022,True,1.3206910322236461679892874864
0.031,0.05,0.122,0.021,True,1.3195261989557286053842845252
0.031,0.05,0.123,0.021,True,1.3195261989557286053842845252
0.032,0.05,0.123,0.031,True,1.3192769765514158289193189164
0.031,0.05,0.122,0.020,True,1.3181153431600279084606218152
0.031,0.05,0.123,0.020,True,1.3181153431600279084606218152
0.028,0.04,0.124,0.017,True,1.3176642222797174426868540925
0.028,0.04,0.125,0.017,True,1.3176642222797174426868540925
0.014,0.01,0.131,0.019,False,1.3135336456394361101592698227
0.008,0,0.117,0.009,True,1.3117881558121086471105235595
0.037,0,0.128,0.032,True,1.3094730587547503300349146396
0.023,0.02,0.127,0.013,False,1.3086235597120466875521544166
0.015,0,0.123,0.009,False,1.3084904589534431574329253586
0.037,0,0.128,0.031,True,1.3067172380013123812148833518
0.004,0.03,0.081,0.015,True,1.3061245437409882515516494719
0.024,0,0.129,0.014,False,1.3049406788389392976578494013
0.003,0.02,0.081,0.009,True,1.3038616822839864856461891861
0.024,0.01,0.128,0.014,False,1.3030418155939050460750037809
0.011,0.01,0.086,0.016,False,1.3028053166501856015022996842
0.024,0,0.129,0.013,False,1.3006611812585083379684269913
0.031,0.15,0.092,0.024,False,1.3003711885335255713323729985
0.024,0.01,0.128,0.013,False,1.2987628652191006433728576348
0.010,0.02,0.084,0.016,False,1.2978776915365049954485476213
0.015,0,0.150,0.001,True,1.2956726069205917259165845224
0.015,0,0.151,0.001,True,1.2956726069205917259165845224
0.015,0,0.152,0.001,True,1.2956726069205917259165845224
0.015,0,0.153,0.001,True,1.2956726069205917259165845224
0.031,0.05,0.122,0.016,True,1.2953957901747412402535277133
0.031,0.05,0.123,0.016,True,1.2953957901747412402535277133
0.013,0.03,0.115,0.021,False,1.2949244346694564618360623033
0.012,0.01,0.091,0.016,False,1.2947675191060463561890043870
0.012,0.01,0.092,0.016,False,1.2947675191060463561890043870
0.012,0.01,0.093,0.016,False,1.2947675191060463561890043870
0.007,0,0.116,0.009,True,1.2913547097144222336781663433
0.007,0,0.117,0.009,True,1.2913547097144222336781663433
0.033,0.05,0.122,0.031,True,1.2910825376905052228530548522
0.001,0.26,0.108,0.006,True,1.2901736448810164380967067436
0.020,0,0.131,0.014,False,1.2893279160735322723685910237
0.020,0,0.132,0.014,False,1.2893279160735322723685910237
0.020,0,0.131,0.013,False,1.2885650155318302311428891806
0.020,0,0.132,0.013,False,1.2885650155318302311428891806
0.031,0.05,0.123,0.019,True,1.2862726440736981818121514552
0.031,0.05,0.122,0.018,True,1.2861558201250408015849052282
0.031,0.05,0.123,0.018,True,1.2861558201250408015849052282
0.008,0.01,0.117,0.009,True,1.2859693665447144277405178281
0.031,0.05,0.122,0.017,True,1.2854898268532427684768171517
0.031,0.05,0.123,0.017,True,1.2854898268532427684768171517
0.003,0,0.087,0.021,True,1.2842273672075009696625149611
0.015,0.01,0.131,0.019,False,1.2822744388005222992440859839
0.001,0.01,0.088,0.019,True,1.2822005560299622419909059667
0.024,0.02,0.127,0.013,False,1.2812203883575462431353370275
0.003,0,0.088,0.021,True,1.2807073478354129664394149786
0.013,0.01,0.087,0.016,False,1.2801099471448374154707079461
0.013,0,0.136,0.016,True,1.2778916068505475740012671240
0.012,0.01,0.090,0.016,False,1.2770987027484885899008113681
0.003,0.01,0.086,0.009,True,1.2760125371328164625559742273
0.012,0.01,0.086,0.016,False,1.2723467586571727952489177811
0.016,0,0.150,0.001,True,1.2722591234157910195787543152
0.016,0,0.151,0.001,True,1.2722591234157910195787543152
0.016,0,0.152,0.001,True,1.2722591234157910195787543152
0.016,0,0.153,0.001,True,1.2722591234157910195787543152
0.002,0.26,0.084,0.022,True,1.2720865271090168142679649369
0.002,0.26,0.085,0.022,True,1.2720865271090168142679649369
0.002,0.26,0.086,0.022,True,1.2720865271090168142679649369
0.025,0.01,0.128,0.013,False,1.2710563728922932123978507832
0.012,0.01,0.088,0.015,False,1.2706972370054485507596435999
0.001,0,0.087,0.019,True,1.2703786136325549977222743638
0.001,0,0.088,0.019,True,1.2703786136325549977222743638
0.037,0,0.126,0.032,True,1.2680069522009161751982633012
0.037,0,0.127,0.032,True,1.2680069522009161751982633012
0.037,0,0.126,0.031,True,1.2652511314474782263782320134
0.037,0,0.127,0.031,True,1.2652511314474782263782320134
0.025,0,0.128,0.013,False,1.2646856773102427385385296861
0.001,0.01,0.087,0.019,True,1.2646433704399941879049537739
0.011,0,0.084,0.013,True,1.2632966808285680170186933205
0.011,0,0.085,0.013,True,1.2632966808285680170186933205
0.020,0,0.128,0.025,True,1.2631409827200946762617551239
0.015,0,0.149,0.016,True,1.2622046465303270885449961836
0.003,0,0.088,0.022,True,1.2621180883653207092985933078
0.004,0.04,0.081,0.015,True,1.2616425377842329574163853934
0.021,0,0.131,0.014,False,1.2602170469202107475058009542
0.021,0,0.132,0.014,False,1.2602170469202107475058009542
0.029,0.05,0.122,0.016,True,1.2593786750496337000427440003
0.021,0,0.131,0.013,False,1.2593234697084144295458230590
0.021,0,0.132,0.013,False,1.2593234697084144295458230590
0.020,0,0.128,0.024,True,1.2569538573785808260565819495
0.025,0.16,0.088,0.007,False,1.2562490674030266048344235179
