StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.030,0.04,0.033,0.028,False,1.9876766339036366248787289029
0.030,0.03,0.038,0.013,False,1.9824148122431369873171902825
0.030,0.03,0.033,0.028,False,1.9790400074311890261709262812
0.030,0.04,0.032,0.028,False,1.9349115481348606889127899908
0.030,0.03,0.034,0.028,False,1.9335376115454543604841504463
0.031,0.06,0.032,0.028,False,1.9326440051608050499368953708
0.030,0.04,0.032,0.027,False,1.9325045018833763978963901112
0.031,0.07,0.033,0.028,False,1.9311798035437265423432231224
0.031,0.06,0.032,0.027,False,1.9309924829784346855112130791
0.026,0.02,0.029,0.002,False,1.9194677838145614258281982218
0.030,0.04,0.033,0.027,False,1.9119881760520951561430347183
0.029,0.03,0.039,0.013,False,1.9073133253443233018633967408
0.030,0.04,0.034,0.028,False,1.9054914714281917601739933393
0.030,0.03,0.033,0.027,False,1.9013741259286788803878614209
0.030,0.05,0.034,0.028,False,1.9005448827101459655452357179
0.027,0.03,0.040,0.013,False,1.8994808418014651456405942033
0.030,0.05,0.033,0.028,False,1.8971097413696333200817904187
0.026,0.03,0.038,0.005,False,1.8944595032478784546891808569
0.033,0.07,0.032,0.028,False,1.8934400267694639486334490167
0.026,0.04,0.040,0.014,False,1.8895989327078709396210524132
0.032,0.07,0.032,0.028,False,1.8828136146971401821530622314
0.032,0.07,0.032,0.027,False,1.8816707241261382215159400269
0.026,0.05,0.040,0.014,False,1.8811275658108276273835717060
0.031,0.05,0.032,0.028,False,1.8807607008706487169387671422
0.031,0.05,0.032,0.027,False,1.8779763319154369565702921928
0.031,0.03,0.033,0.028,False,1.8745475426237748025313593023
0.030,0.06,0.034,0.028,False,1.8623956040417540916968721094
0.031,0.07,0.033,0.027,False,1.8594789031280652134776539813
0.030,0.06,0.033,0.028,False,1.8590122763634950078746493776
0.031,0.04,0.033,0.028,False,1.8586453978372481514636501361
0.031,0.06,0.032,0.026,False,1.8573769893405045277594865020
0.028,0.03,0.029,0.002,False,1.8569054453595310671201231852
0.027,0.04,0.042,0.013,False,1.8547785803006915691384181540
0.029,0.03,0.033,0.028,False,1.8540618345528130702679480743
0.030,0.04,0.032,0.026,False,1.8533630079141255323820969793
0.030,0.04,0.038,0.013,False,1.8484804108631932460248449880
0.020,0.02,0.034,0.005,False,1.8473235916611295499726590545
0.033,0.07,0.031,0.028,False,1.8451338758290137570974327520
