StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.001,0.01,0.047,0.001,True,0.7862064875484684482142198240
0.001,0,0.047,0.001,True,0.6752749953623963396036267351
0.001,0.01,0.045,0.001,True,0.6690721551832243003176160811
0.001,0.01,0.046,0.001,True,0.6669690637618890573879913663
0.001,0.01,0.048,0.001,True,0.6528976888774781793772626734
0.001,0.01,0.042,0.001,True,0.6244568133485691679114311874
0.001,0.01,0.044,0.001,True,0.6243395505740775963940438002
0.001,0.01,0.041,0.001,True,0.6190799653515368142489984729
0.001,0.01,0.043,0.001,True,0.5777643354369527606594007545
0,0.01,0.048,0.001,True,0.5686596707740497884553529785
0.001,0,0.042,0.001,True,0.5592429568509356703619595738
0.001,0,0.045,0.001,True,0.5572365473523091096503137353
0.001,0,0.046,0.001,True,0.5572365473523091096503137353
0.001,0,0.041,0.001,True,0.5538661088539033166995268593
0.001,0,0.048,0.001,True,0.5407893865074711942093569339
0.001,0,0.044,0.001,True,0.5120023341673625049549759786
0.001,0,0.043,0.001,True,0.5108188774610670552713932433
0,0.01,0.049,0.001,True,0.4960555817717663766034785444
0,0,0.048,0.001,True,0.4246001092112917372502563361
0,0.01,0.047,0.001,True,0.4225686967386046623163930539
0,0.01,0.050,0.001,True,0.4171524236753003168307400127
0.001,0.01,0.049,0.001,True,0.3994223700326793216805284567
0.001,0.01,0.050,0.001,True,0.3656688981219054123763993830
0,0,0.049,0.001,True,0.3519675260988672623409036070
0,0.01,0.041,0.001,True,0.3266074875622845348203826537
0,0.01,0.042,0.001,True,0.3266074875622845348203826537
0,0.01,0.046,0.001,True,0.3153967959688952272759810304
0,0.01,0.045,0.001,True,0.2912634357527256164601223876
0.001,0,0.049,0.001,True,0.2873140676626723365126227172
0,0,0.047,0.001,True,0.2797925011004107019835785569
0,0,0.050,0.001,True,0.2730301640452911703747101731
0.001,0,0.050,0.001,True,0.2530589871760985264367281677
0,0.01,0.044,0.001,True,0.2353848938390768417156865022
0,0.01,0.043,0.001,True,0.2182994015792340433247141947
0,0,0.041,0.001,True,0.1883125705191229724966385179
0,0,0.042,0.001,True,0.1883125705191229724966385179
0,0,0.046,0.001,True,0.1749673935547946905874293545
0,0.01,0.050,0.013,False,0.1749342791199246884872996474
0,0,0.045,0.001,True,0.1519213936958260125385266275
0.001,0.01,0.050,0.013,False,0.0995571175899379573159306866
0,0,0.044,0.001,True,0.0960086478250672056006358399
0,0,0.043,0.001,True,0.0789231555652244072096635324
0,0,0.050,0.013,False,-0.0290076303950971666559170264
0,0.01,0.045,0.013,False,-0.0388326619063085246914127028
0.001,0,0.050,0.013,False,-0.0617377151267790066901276785
0,0.01,0.048,0.013,False,-0.0640881720679946383807697715
0,0.01,0.049,0.013,False,-0.0796720763015803155990612284
0.001,0.01,0.048,0.013,False,-0.1646339738647110999583468779
0,0.01,0.046,0.013,False,-0.1879904867353136664741358771
0,0.01,0.047,0.013,False,-0.1917328805685519031683279122
0,0,0.044,0.013,False,-0.1936433041180930762383109253
0,0.01,0.043,0.001,False,-0.2000626742490268302809566689
0,0.01,0.042,0.001,False,-0.2035974401242203941707818255
0.001,0.01,0.049,0.013,False,-0.2036272464989555883394475154
0,0.01,0.044,0.013,False,-0.2110245069878169034491671780
0,0,0.045,0.013,False,-0.2417805804241086551750793682
0.001,0.01,0.047,0.013,False,-0.2433650929778902458405200477
0,0,0.048,0.013,False,-0.2685609006678028766675335730
0,0,0.049,0.013,False,-0.2835834048929128882967736895
0,0,0.049,0.001,False,-0.2859342816815570015121817381
0,0,0.050,0.001,False,-0.2859342816815570015121817381
0,0,0.048,0.001,False,-0.2884233114000187483464795689
0,0.01,0.049,0.001,False,-0.2925201300521577453497704614
0,0.01,0.050,0.001,False,-0.2925201300521577453497704614
0,0.01,0.048,0.001,False,-0.2950091597706194921840682922
0.001,0.01,0.046,0.013,False,-0.2991897788495779640146572050
0,0.01,0.042,0.013,False,-0.3104071931259724256318866869
0,0,0.047,0.001,False,-0.3128962610556073776345796482
0.001,0.01,0.043,0.001,False,-0.3165700610351235374107763570
0,0.01,0.041,0.001,False,-0.3188606641420449793766280887
0,0.01,0.047,0.001,False,-0.3194821094262081214721683715
0.001,0,0.048,0.013,False,-0.3258564424033078191623409431
0,0,0.043,0.001,False,-0.3416307467595790618164344609
0,0,0.042,0.001,False,-0.3451655126347726257062596175
0.001,0.01,0.042,0.001,False,-0.3561346216848912323785453014
0.001,0,0.049,0.013,False,-0.3648497150375523075434415806
0.001,0.01,0.045,0.013,False,-0.3774256670609081729339725072
0.001,0,0.048,0.001,False,-0.3872945499568981458056333953
0,0,0.046,0.013,False,-0.3907058271627638887086687726
0.001,0,0.049,0.001,False,-0.3908823658227289955894539064
0.001,0,0.050,0.001,False,-0.3908823658227289955894539064
0.001,0.01,0.048,0.001,False,-0.3922954090567444585984615900
0.001,0.01,0.049,0.001,False,-0.3958832249225753083822821011
0.001,0.01,0.050,0.001,False,-0.3958832249225753083822821011
0,0,0.047,0.013,False,-0.3962056091683601414550917137
0.001,0,0.047,0.013,False,-0.4051489615249626306335654533
0.001,0,0.047,0.001,False,-0.4127773106065713227780503120
0.001,0.01,0.047,0.001,False,-0.4177781697064176355708785067
0,0,0.042,0.013,False,-0.4256739839715210986456184134
0,0,0.043,0.013,False,-0.4545202055776324089750412999
0,0,0.041,0.001,False,-0.4594313970168112107505045303
0.001,0,0.046,0.013,False,-0.4597914323599981314042190156
0,0.01,0.043,0.013,False,-0.4707631573276392047763144654
0,0,0.046,0.001,False,-0.4719579806538726737221577572
0.001,0.01,0.041,0.001,False,-0.4723594315511771416580741120
0,0.01,0.046,0.001,False,-0.4796857095480176980231847802
0.001,0,0.044,0.013,False,-0.4845989273750305057160528168
0.001,0,0.045,0.013,False,-0.5075297930880723594026879107
0,0.01,0.041,0.013,False,-0.5214722527859800547857520952
0.001,0.01,0.044,0.013,False,-0.5319162472527706363344094028
0,0,0.045,0.001,False,-0.5452730590573521939175701641
0,0.01,0.045,0.001,False,-0.5530007879514972182185971871
0.001,0,0.046,0.001,False,-0.5543659793271581620315722361
0,0,0.044,0.001,False,-0.5559810892519901354247677067
0.001,0.01,0.046,0.001,False,-0.5604094028419197633294121785
0,0.01,0.044,0.001,False,-0.5626003520575001292224942214
0.001,0,0.043,0.001,False,-0.6137889805490168985529950136
