StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.025,0.05,0.066,0.030,True,1.8783429788273156750005171927
0.025,0.05,0.066,0.028,True,1.8721132271028770667693052654
0.025,0.05,0.066,0.029,True,1.8658827468995259941590082995
0.024,0.05,0.066,0.028,True,1.8510900199584581889635740327
0.026,0.05,0.066,0.030,True,1.8339337969217424855906316852
0.022,0.03,0.067,0.026,False,1.8335971623894806183192113799
0.022,0.03,0.068,0.026,False,1.8335971623894806183192113799
0.026,0.05,0.066,0.028,True,1.8296973895661918905302725808
0.022,0.03,0.066,0.025,False,1.8286191384700331537762911435
0.022,0.03,0.067,0.025,False,1.8286191384700331537762911435
0.024,0.03,0.066,0.024,False,1.8271690522937891426752458611
0.024,0.03,0.066,0.025,False,1.8269139134760889496062144255
0.026,0.05,0.066,0.029,True,1.8237691120181930862990657104
0.024,0.04,0.066,0.025,False,1.8234597736081166371215548622
0.024,0.05,0.066,0.025,False,1.8207808708719903321632354608
0.024,0.04,0.066,0.024,False,1.8179470651354957881299222149
0.024,0.05,0.066,0.024,False,1.8153672871370953783883261823
0.029,0.05,0.066,0.030,True,1.8036017644743062335590579715
0.024,0.05,0.066,0.030,True,1.8023824723767493542705890953
0.027,0.05,0.066,0.030,True,1.7976563166390600274855376877
0.020,0.01,0.067,0.026,False,1.7975133361873785027972854714
0.020,0.01,0.068,0.026,False,1.7975133361873785027972854714
0.020,0.02,0.067,0.026,False,1.7934750741014793910953929758
0.020,0.02,0.068,0.026,False,1.7934750741014793910953929758
0.024,0.05,0.066,0.029,True,1.7869793351976567116232534280
0.023,0.03,0.067,0.026,False,1.7749793818199066990397249329
0.023,0.03,0.066,0.024,False,1.7749791947478330754353047604
0.022,0.03,0.065,0.023,False,1.7733974628634802529583768311
0.023,0.03,0.066,0.025,False,1.7696417289633590058603143345
0.023,0.03,0.067,0.025,False,1.7696417289633590058603143345
0.027,0.07,0.067,0.027,False,1.7696051748358434607450949999
0.027,0.07,0.068,0.027,False,1.7696051748358434607450949999
0.021,0.01,0.067,0.025,False,1.7679812442259979119036625029
0.028,0.05,0.066,0.030,True,1.7678873560022929296292647250
0.025,0.05,0.068,0.030,True,1.7669405536739606810868872064
0.024,0.08,0.066,0.030,True,1.7669017347999344444409043783
0.030,0.05,0.066,0.030,True,1.7661739451886536233471086196
0.024,0.08,0.067,0.030,True,1.7661256819492758271395136645
0.024,0.08,0.068,0.030,True,1.7661256819492758271395136645
0.023,0.04,0.066,0.024,False,1.7658673545981328491658436643
0.023,0.04,0.067,0.026,False,1.7658661164294935786139535128
0.027,0.05,0.066,0.028,True,1.7657106169879613942656567960
0.021,0.02,0.067,0.025,False,1.7639461729291221493782452116
0.037,0.01,0.066,0.005,False,1.7637434351945027370075287565
0.025,0.07,0.068,0.030,True,1.7636979585169724415146248363
0.023,0.05,0.066,0.024,False,1.7630723121433499319429679027
0.023,0.05,0.067,0.026,False,1.7630698432194060010865597981
0.025,0.05,0.068,0.028,True,1.7615153154453952434171374017
0.037,0.02,0.066,0.019,False,1.7612048086599950005210457599
0.023,0.04,0.066,0.025,False,1.7605292105292068227692786766
0.023,0.04,0.067,0.025,False,1.7605292105292068227692786766
0.027,0.05,0.066,0.029,True,1.7597104238065222760617867681
0.025,0.05,0.067,0.030,True,1.7597050731337112537905513406
0.025,0.05,0.065,0.030,True,1.7591158579933855922761847946
0.025,0.05,0.064,0.030,True,1.7587649058437533608194352636
0.025,0.07,0.064,0.030,True,1.7580837164843575910740696572
0.023,0.05,0.066,0.025,False,1.7578322959817012979019512291
0.023,0.05,0.067,0.025,False,1.7578322959817012979019512291
0.025,0.07,0.066,0.030,True,1.7572659695442997626235748972
0.025,0.07,0.067,0.030,True,1.7564624779767230142182889705
0.025,0.05,0.068,0.029,True,1.7544715282052888815507177431
0.025,0.05,0.067,0.028,True,1.7542798349051458161208015359
0.026,0.07,0.067,0.030,True,1.7502674147014600029952553059
0.026,0.07,0.068,0.030,True,1.7502674147014600029952553059
0.025,0.05,0.067,0.029,True,1.7480483327734983213543283741
0.025,0.05,0.065,0.029,True,1.7466556260655959114346759014
0.027,0.03,0.068,0.027,False,1.7447622443016854567260076387
0.027,0.03,0.067,0.027,False,1.7444370408691532396901816652
0.026,0.07,0.066,0.030,True,1.7438624541140751424184444039
0.026,0.07,0.064,0.030,True,1.7414309495509837748297559518
0.025,0,0.041,0.012,False,1.7406756925983107831002524275
0.027,0.04,0.068,0.027,False,1.7394780392319453768615505625
0.025,0.07,0.068,0.028,True,1.7393096097494423061054841821
0.027,0.04,0.067,0.027,False,1.7391528357994131598257245890
0.027,0.05,0.067,0.027,False,1.7360457611698700690583657300
0.027,0.05,0.068,0.027,False,1.7360457611698700690583657300
0.024,0.03,0.065,0.024,False,1.7352324390298781005604528374
0.025,0.07,0.066,0.028,True,1.7342977768068831308481334592
0.025,0.07,0.067,0.028,True,1.7342977768068831308481334592
0.025,0.08,0.068,0.028,True,1.7332598726930766515597908516
