StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.030,0.03,0.038,0.013,False,2.0049260966581777302450202714
0.030,0.04,0.033,0.028,False,1.9872959908123756663570840909
0.030,0.03,0.033,0.028,False,1.9778925500018259458879843089
0.026,0.02,0.042,0.012,False,1.9389217956449594076901324935
0.031,0.07,0.033,0.028,False,1.9351311272218085456212965250
0.030,0.03,0.034,0.028,False,1.9323901541160912802012084740
0.026,0.03,0.042,0.013,False,1.9278738355320771480005720681
0.026,0.02,0.042,0.013,False,1.9271572880835919251660115080
0.029,0.03,0.039,0.013,False,1.9267334528303875658236849912
0.027,0.03,0.040,0.011,False,1.9219929476382104662056114971
