StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.031,0,0.051,0.013,False,1.8729961874695281281944833658
0.030,0,0.051,0.013,False,1.8502770482523960085866751220
0.022,0.03,0.067,0.026,False,1.8169757470465510409311348204
0.022,0.03,0.068,0.026,False,1.8169757470465510409311348204
0.032,0,0.051,0.013,False,1.8131575231292972338993975099
0.022,0.03,0.066,0.025,False,1.8120887119002836805874148593
0.022,0.03,0.067,0.025,False,1.8120887119002836805874148593
0.029,0,0.051,0.013,False,1.7946102183517051123749120405
0.029,0,0.053,0.013,False,1.7939191879634840813029041808
0.027,0.01,0.051,0.013,False,1.7908217379545842453901706944
0.027,0.02,0.051,0.013,False,1.7875404139010148099747385394
0.020,0.02,0.025,0.006,False,1.7862904573728457978549721777
